date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-06-09,1412549,647552,0.458428,0.087982,0.419004
2022-06-10,684935,318900,0.465592,0.366886,0.170253
2022-06-13,986962,320000,0.324227,0.485178,0.456043
2022-06-14,667666,320218,0.479608,0.243584,0.335872
2022-06-15,1258461,665463,0.528791,0.210441,0.364546
2022-06-16,1789468,589900,0.329651,0.262756,0.32715
2022-06-17,2909299,952018,0.327233,0.379912,0.341562
2022-06-20,1240486,450864,0.363458,0.042137,0.321739
2022-06-21,661392,340000,0.514067,0.410412,0.287662
2022-06-22,1249412,536675,0.429542,0.068667,0.156126
2022-06-23,1169929,500176,0.427527,0.012036,0.252248
2022-06-24,1692161,526995,0.311433,0.333969,0.258372
2022-06-27,1212462,593015,0.4891,0.360868,0.310303
2022-06-28,1323822,368106,0.278063,2.433326,0.189193
2022-06-29,7503268,1459122,0.194465,0.27809,0.293715
2022-06-30,5103838,1778794,0.348521,0.23218,0.234586
2022-07-01,1599870,700101,0.437599,0.159868,0.23538
2022-07-04,980041,299392,0.305489,0.163665,0.254455
2022-07-05,1194195,370276,0.310063,0.105327,0.284378
2022-07-06,974878,335502,0.344148,0.053651,0.324732
2022-07-07,1591742,552169,0.346896,0.123149,0.397706
2022-07-08,1464675,620020,0.423316,0.072578,0.307975
2022-07-11,425239,133000,0.312765,3.909774,0.352637
2022-07-12,2698907,687538,0.254747,0.050906,0.305283
2022-07-13,3013771,1204440,0.399645,0.224086,0.340088
2022-07-14,2552786,1218465,0.477308,0.126489,0.433337
2022-07-15,1324833,614316,0.463693,0.21807,0.112104
2022-07-18,1618680,803558,0.496428,0.119469,0.21265
2022-07-19,1023914,495000,0.483439,0.256428,0.299547
2022-07-20,1959781,841019,0.429139,0.004756,0.415669
2022-07-21,1310932,689800,0.526191,0.063787,0.335279
2022-07-22,1151463,473833,0.411505,0.044317,0.22131
2022-07-25,610264,161998,0.265456,2.925962,0.406864
2022-07-26,1649064,300806,0.18241,0.249589,0.244252
2022-07-27,1353294,344157,0.254311,2.733927,0.195441
2022-07-28,1857286,413063,0.222401,0.18671,0.43562
2022-07-29,2082385,987439,0.474187,0.193949,0.280097
2022-08-01,1386274,456851,0.329553,0.054201,0.159616
2022-08-02,1326073,478154,0.360579,0.09005,0.405971
2022-08-03,1446756,713181,0.492952,1.024985,0.370348
2022-08-04,7047175,1765382,0.250509,0.583687,0.362013
2022-08-05,9473156,3210315,0.338885,0.189078,0.247433
2022-08-08,3059218,799960,0.261492,0.032625,0.297432
2022-08-09,2203559,958004,0.434753,0.375249,0.2853
2022-08-10,4053874,1478203,0.36464,0.412079,0.44852
2022-08-11,9855414,4959640,0.50324,0.486326,0.21026
2022-08-12,12775257,3864777,0.30252,0.101911,0.246601
2022-08-15,4628834,1316171,0.284342,0.051667,0.393029
2022-08-16,2435277,624501,0.256439,0.423333,0.19378
2022-08-17,2025179,915000,0.451812,0.439344,0.551386
2022-08-18,3931180,981519,0.249675,0.205217,0.367525
2022-08-19,2404823,543828,0.226141,0.112442,0.263438
2022-08-22,2153041,1054201,0.489633,0.52249,0.425051
2022-08-23,3528041,843739,0.239152,0.132473,0.21194
2022-08-24,3667652,1607588,0.438315,0.057941,0.13027
2022-08-25,4549418,1815867,0.399143,0.036969,0.240702
2022-08-26,1950081,575839,0.29529,0.08443,0.164025
2022-08-29,1771151,875555,0.494342,0.078807,0.319798
2022-08-30,1447573,306106,0.211462,0.352819,0.150926
2022-08-31,4649501,947118,0.203703,0.046121,0.285891
2022-09-01,4861107,1710400,0.351854,0.198352,0.302493
2022-09-02,5162433,1011200,0.195877,0.664755,0.331955
2022-09-05,9578734,2017132,0.210584,0.25269,0.350941
2022-09-06,3702395,748870,0.202266,0.10448,0.307339
2022-09-07,1924453,515016,0.267617,0.506806,0.231434
2022-09-08,4252411,2013295,0.473448,0.419706,0.141775
2022-09-12,2587635,1249106,0.482721,0.319245,0.393722
2022-09-13,6411394,2555675,0.398615,0.211093,0.182546
2022-09-14,5569901,1742170,0.312783,0.121912,0.327653
2022-09-15,4078770,1997840,0.489814,0.155568,0.437121
2022-09-16,4339759,1543239,0.355605,,0.171189
