id,event_date,yoy,year,is_2022
1104,2023-01-11,0.272864,2023,False
1104,2023-12-11,0.230739,2023,False
1104,2024-03-04,0.349706,2024,False
1210,2022-04-06,0.292001,2022,True
1216,2024-05-22,0.18764,2024,False
1216,2024-07-22,0.170449,2024,False
1218,2022-02-14,0.157062,2022,True
1218,2022-04-12,0.160125,2022,True
1225,2022-08-23,0.19943,2022,True
1232,2023-04-06,0.409325,2023,False
1234,2023-06-12,0.281594,2023,False
1235,2022-06-16,0.743902,2022,True
1235,2023-05-16,0.70122,2023,False
1258,2023-03-10,0.16299,2023,False
1259,2022-07-08,0.174849,2022,True
1259,2022-08-05,0.357427,2022,True
1268,2022-08-26,4.755093,2022,True
1268,2022-09-29,1.545419,2022,True
1301,2022-03-03,0.245748,2022,True
1303,2022-02-07,0.219261,2022,True
1309,2024-02-19,0.367366,2024,False
1312,2025-10-22,0.759463,2025,False
1315,2022-11-30,0.180603,2022,True
1319,2022-06-15,0.216152,2022,True
1319,2024-02-15,0.527456,2024,False
1338,2022-02-11,0.208108,2022,True
1341,2022-11-07,0.421089,2022,True
1342,2022-04-19,0.234709,2022,True
1402,2022-08-31,0.161906,2022,True
1409,2022-02-21,0.310205,2022,True
1409,2023-12-20,0.157465,2023,False
1416,2025-12-22,0.163416,2025,False
1417,2021-11-11,0.459613,2021,False
1423,2022-11-01,0.187548,2022,True
1438,2021-10-25,7.0,2021,False
1442,2021-09-30,0.379883,2021,False
1444,2022-04-06,0.280241,2022,True
1445,2022-09-22,0.219938,2022,True
1456,2023-06-14,2.437186,2023,False
1464,2024-09-16,0.151534,2024,False
1465,2022-06-02,0.237072,2022,True
1465,2022-11-10,0.62666,2022,True
1470,2025-04-15,0.408177,2025,False
1472,2022-05-16,0.315516,2022,True
1472,2023-06-14,0.775457,2023,False
1472,2025-03-24,0.594452,2025,False
1474,2024-02-29,0.793552,2024,False
1477,2022-08-11,0.219418,2022,True
1503,2024-02-16,0.237196,2024,False
1512,2022-12-14,0.603943,2022,True
1513,2023-02-13,0.337966,2023,False
1514,2022-06-01,0.552497,2022,True
1515,2024-04-29,2.612976,2024,False
1516,2025-10-07,1.592525,2025,False
1517,2022-07-19,0.320282,2022,True
1519,2022-01-11,0.206857,2022,True
1519,2023-12-04,1.40986,2023,False
1519,2024-03-18,1.622267,2024,False
1524,2022-05-04,0.293614,2022,True
1526,2022-08-09,0.249817,2022,True
1528,2022-05-27,0.204445,2022,True
1530,2025-02-17,1.10388,2025,False
1532,2022-01-06,0.612396,2022,True
1533,2026-04-28,0.624076,2026,False
1535,2022-01-11,0.161402,2022,True
1535,2022-08-09,0.372689,2022,True
1535,2024-01-10,0.233785,2024,False
1539,2021-11-01,0.345913,2021,False
1539,2022-04-20,0.288531,2022,True
1539,2024-08-15,0.238439,2024,False
1540,2023-12-08,0.315337,2023,False
1540,2024-03-15,0.176428,2024,False
