date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2024-04-22,1040,臺銀證券,88000,50,87950,35.3699,33.65
2024-04-22,1260,宏遠,16000,20000,-4000,35.8375,36.43
2024-04-22,538F,第一金大稻,87000,1500,85500,36.4672,35.6467
2024-04-22,538Y,第一金中壢,53880,11000,42880,34.6489,36.1636
2024-04-22,5850,統一,53089,65025,-11936,33.4069,35.509
2024-04-22,5854,統一城中,15000,16008,-1008,35.44,35.3574
2024-04-22,5857,統一新竹,53000,73000,-20000,34.8481,35.0164
2024-04-22,585A,統一基隆,53000,3000,50000,36.4642,31.55
2024-04-22,585c,統一仁愛,27000,140000,-113000,36.7074,35.8675
2024-04-22,5920,元富,6000,0,6000,36.775,
2024-04-22,5925,元富台中,2150,2000,150,36.9058,37.05
2024-04-22,592D,元富大昌,37000,15000,22000,34.423,36.49
2024-04-22,592H,元富信義,210000,187000,23000,32.7817,36.2246
2024-04-22,592Q,元富敦南,176000,76000,100000,35.0037,35.9355
2024-04-22,592Z,元富安南,13005,339000,-325995,36.4104,35.9969
2024-04-22,592a,元富松德,15000,78235,-63235,33.8067,35.6789
2024-04-22,7005,兆豐台中港,13043,18000,-4957,36.0156,35.2944
2024-04-22,700J,兆豐公益,94000,18000,76000,36.1691,37.2667
2024-04-22,700X,兆豐永和,5000,0,5000,33.21,
2024-04-22,700a,兆豐忠孝,17000,2000,15000,34.7353,34.3
2024-04-22,700b,兆豐中壢,1000,1000,0,34.4,33.3
2024-04-22,700k,兆豐員林,88000,0,88000,34.2307,
2024-04-22,779J,國票北高雄,23200,28000,-4800,35.785,36.4625
2024-04-22,779X,國票中和,29000,11000,18000,33.8534,34.1955
2024-04-22,779Z,國票安和,78000,544000,-466000,35.2795,36.8561
2024-04-22,779c,國票敦北,2000,471000,-469000,36.25,36.4995
2024-04-22,779u,國票長城,13000,56000,-43000,34.8538,34.9688
2024-04-22,8150,台新,308000,597000,-289000,35.6786,35.6414
2024-04-22,815H,台新屏東,2000,2000,0,33.175,35.475
2024-04-22,8450,康和,5000,1000,4000,36.45,36.45
2024-04-22,845B,康和永和,12000,8000,4000,35.95,36.5812
2024-04-22,845U,康和台北,12000,10000,2000,36.7583,36.62
2024-04-22,8560,新光,478501,449001,29500,34.3856,35.1871
2024-04-22,8561,新光台中,200199,204278,-4079,35.7301,33.5942
2024-04-22,8881,國泰高雄,51100,22005,29095,36.2333,36.0293
2024-04-22,8882,國泰台中,452101,424155,27946,36.3054,35.4957
2024-04-22,8888,國泰敦南,402053,321034,81019,35.9171,35.013
2024-04-22,9100,群益,52000,55000,-3000,32.2779,36.2336
2024-04-22,9131,群益民權,103211,105050,-1839,35.0465,35.7288
2024-04-22,9138,群益中港,19000,9000,10000,35.8737,36.95
2024-04-22,913g,群益三重,8000,2000,6000,36.1188,34.725
2024-04-22,9186,群益新竹,25000,36000,-11000,35.138,34.8847
2024-04-22,918M,群益嘉義,36000,17000,19000,36.3694,37.1088
2024-04-22,918e,群益大安,6000,6000,0,36.8,35.8
2024-04-22,918i,群益竹南,1000,3000,-2000,33.6,36.05
2024-04-22,9205,凱基三重,32000,205000,-173000,35.2625,36.1327
2024-04-22,9207,凱基永和,5000,1000,4000,35.6,36.7
2024-04-22,920A,凱基板橋,3000,0,3000,36.3167,
2024-04-22,920D,凱基市府,6000,2000,4000,36.5917,34.725
2024-04-22,9216,凱基信義,20000,26000,-6000,36.5875,36.3538
2024-04-22,9217,凱基松山,151000,13000,138000,32.4619,33.2038
2024-04-22,9227,凱基城中,24000,43664,-19664,34.4375,34.5639
2024-04-22,9229,凱基中山,13000,11000,2000,36.1038,37.0909
2024-04-22,9236,凱基虎尾,1000,0,1000,36.55,
2024-04-22,9239,凱基市政,4000,17066,-13066,35.5,36.7123
2024-04-22,9257,凱基林口,82000,42000,40000,35.3439,34.7298
2024-04-22,9268,凱基台北,1117000,1430000,-313000,34.5483,35.8338
2024-04-22,9600,富邦,2000,14000,-12000,37.025,36.6827
2024-04-22,9604,富邦陽明,157000,132049,24951,36.0662,34.3028
2024-04-22,9623,富邦台北,49000,118122,-69122,35.098,35.6562
2024-04-22,962D,富邦新莊,62002,1200,60802,32.4646,36.2583
2024-04-22,9647,富邦新竹,27010,38010,-11000,35.6563,35.1622
2024-04-22,9658,富邦建國,58100,30000,28100,35.3701,35.4117
2024-04-22,965K,富邦台中,129600,21000,108600,36.5136,35.2667
2024-04-22,9666,富邦南屯,13420,76000,-62580,36.0161,36.6099
2024-04-22,966F,富邦左營,10000,3000,7000,35.435,35.7333
2024-04-22,9676,富邦仁愛,39000,40000,-1000,34.8628,36.13
2024-04-22,9692,富邦嘉義,159000,230080,-71080,36.6022,36.5336
2024-04-22,9697,富邦虎尾,5000,3000,2000,35.73,35.9167
2024-04-22,969C,富邦北港,4000,27000,-23000,34.6,36.4593
2024-04-22,9800,元大,1764050,1781000,-16950,35.6389,35.9936
2024-04-22,980K,元大竹科,14000,751000,-737000,35.725,31.6027
2024-04-22,9812,元大台中,42000,317000,-275000,34.456,33.6349
2024-04-22,981F,元大福營,17000,219000,-202000,34.8735,33.3432
2024-04-22,981j,元大士林,37000,10000,27000,35.4973,35.79
2024-04-22,981m,元大前金,307000,1000,306000,36.0919,37.3
2024-04-22,982B,元大博愛,93000,13000,80000,36.6758,35.7269
2024-04-22,982C,元大六合,13000,125150,-112150,35.5077,36.6249
2024-04-22,9833,元大敦化,74000,9000,65000,33.3595,34.9667
2024-04-22,9834,元大中壢,106000,34000,72000,33.9722,34.5
2024-04-22,983B,元大林森,8000,4000,4000,36.9188,32.7
2024-04-22,984C,元大新店,14100,92000,-77900,35.1426,36.8511
2024-04-22,9853,元大南屯,22030,253000,-230970,36.2969,36.0759
2024-04-22,9863,元大和平,15000,8000,7000,33.4167,36.525
2024-04-22,988B,元大桃園,14000,4000,10000,34.6321,36.1125
2024-04-22,989B,元大台中港,12000,9000,3000,36.2458,35.3722
2024-04-22,9A9J,永豐金板新,254000,56001,197999,33.9085,35.6161
2024-04-22,9A9X,永豐金竹科,52200,76000,-23800,35.7341,35.0211
2024-04-22,9A9g,永豐金內湖,3000,6000,-3000,36.4167,36.6
2024-04-22,9A9h,永豐金台南,51000,30000,21000,35.1853,36.695
2024-04-22,9A9x,永豐金桃園,22050,23000,-950,35.4264,35.7435
2024-04-23,1030,土銀,116000,6000,110000,31.8918,32.025
2024-04-23,1440,美林證券,105000,66000,39000,31.379,31.9462
2024-04-23,538F,第一金大稻,63000,11000,52000,31.731,30.6136
2024-04-23,538Y,第一金中壢,0,20000,-20000,,32.0
2024-04-23,5850,統一,52,1000,-948,31.1,31.1
2024-04-23,5857,統一新竹,3000,0,3000,31.4167,
2024-04-23,585A,統一基隆,6000,0,6000,31.2833,
2024-04-23,585g,統一平鎮,5000,37000,-32000,31.25,30.7878
2024-04-23,5920,元富,0,6000,-6000,,31.8667
2024-04-23,5925,元富台中,3000,0,3000,31.55,
2024-04-23,592D,元富大昌,4000,3000,1000,31.775,31.3667
2024-04-23,592H,元富信義,8000,8000,0,31.1375,31.925
2024-04-23,592Q,元富敦南,132000,0,132000,31.2788,
2024-04-23,592a,元富松德,1083,1,1082,31.6615,32.35
2024-04-23,592i,元富中港,43000,0,43000,32.4384,
2024-04-23,6168,中信託嘉義,0,32000,-32000,,31.2438
2024-04-23,700M,兆豐桃園,2000,37000,-35000,31.8,32.0486
2024-04-23,700N,兆豐埔墘,1000,1000,0,32.3,31.75
2024-04-23,700X,兆豐永和,49,1000,-951,31.15,30.95
2024-04-23,700a,兆豐忠孝,68000,12000,56000,31.9,31.2
2024-04-23,700k,兆豐員林,0,52000,-52000,,31.0673
2024-04-23,779D,國票台南,50000,0,50000,32.3,
2024-04-23,779J,國票北高雄,0,4000,-4000,,32.025
2024-04-23,779X,國票中和,3000,0,3000,31.8667,
2024-04-23,779Z,國票安和,0,11000,-11000,,31.6545
2024-04-23,779c,國票敦北,0,1000,-1000,,30.75
2024-04-23,779u,國票長城,18000,18000,0,31.3944,31.7222
2024-04-23,8150,台新,171000,155944,15056,31.5737,32.0073
2024-04-23,8440,摩根大通,125000,58000,67000,31.1188,31.9819
2024-04-23,8450,康和,3000,0,3000,31.25,
2024-04-23,845B,康和永和,13000,4000,9000,32.0154,32.0375
2024-04-23,845U,康和台北,2000,2000,0,32.05,32.5
2024-04-23,8560,新光,119000,160501,-41501,31.4487,31.7201
2024-04-23,8561,新光台中,67000,75681,-8681,31.7575,31.6147
2024-04-23,8881,國泰高雄,6005,4000,2005,31.7172,31.575
2024-04-23,8882,國泰台中,17041,39000,-21959,31.7497,31.391
2024-04-23,8888,國泰敦南,121000,125401,-4401,31.7649,31.5907
2024-04-23,9100,群益,20000,25000,-5000,31.265,31.538
2024-04-23,9131,群益民權,5000,7000,-2000,31.3,31.9
2024-04-23,9138,群益中港,2000,0,2000,32.125,
2024-04-23,913g,群益三重,1000,0,1000,31.2,
2024-04-23,9186,群益新竹,17000,1000,16000,32.0647,31.8
2024-04-23,918M,群益嘉義,0,10000,-10000,,31.55
2024-04-23,918i,群益竹南,3000,24000,-21000,31.9667,31.6417
2024-04-23,9204,凱基台中,40000,5000,35000,32.1138,31.5
2024-04-23,9205,凱基三重,46000,6000,40000,31.8728,31.1417
