date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2015-01-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-07,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-08,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-14,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-19,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-20,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-29,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-01-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-02-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-02-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-02-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-02-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
2015-02-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,198.0,198.0,211.0,185.0
