cb_id,stock_id,cb_name,InitialDateOfConversion,DueDateOfConversion,IssuanceAmount
11011,1101,台泥一永,2025-03-11,2029-12-10,8000000000
12101,1210,大成一,2007-10-22,2012-09-11,1000000000
12161,1216,統一一,2007-11-26,2010-10-15,5000000000
12171,1217,愛之一,2011-06-12,2014-05-01,1100000000
12172,1217,愛之二,2011-06-13,2016-05-02,300000000
12173,1217,愛之味三,2013-04-08,2018-02-25,1000000000
12181,1218,泰山一,2013-06-24,2016-05-13,500000000
12251,1225,福脂一,2010-01-22,2014-12-11,500000000
12561,1256,鮮活果汁一KY,2026-01-09,2028-10-08,200000000
12581,1258,其祥一KY,2015-10-16,2018-09-05,250000000
12582,1258,其祥二KY,2019-01-11,2023-09-10,300000000
13161,1316,上曜一,2011-09-03,2014-07-23,300000000
13162,1316,上曜二,2015-01-24,2017-12-23,200000000
13163,1316,上曜三,2019-02-08,2021-11-07,500000000
13164,1316,上曜四,2021-04-30,2026-01-29,400000000
13165,1316,上曜五,2021-05-02,2024-02-01,400000000
13166,1316,上曜六,2025-03-28,2027-12-27,400000000
13191,1319,東陽一,2011-02-04,2015-12-24,1000000000
13361,1336,台翰一,2014-10-11,2017-09-10,350000000
13371,1337,再生一,2012-11-12,2015-10-01,600000000
13381,1338,廣華一KY,2021-04-20,2026-01-19,600000000
13382,1338,廣華二KY,2024-03-02,2028-12-01,600000000
13411,1341,富林一KY,2021-08-14,2024-05-13,150000000
13421,1342,八貫一,2022-09-03,2025-06-02,200000000
140201,1402,遠東新E1永,2024-11-09,2029-08-08,1000000000
140202,1402,遠東新E2永,2024-11-09,2029-08-08,1500000000
14093,1409,新纖三,2007-06-20,2012-04-17,2200000000
14321,1432,大魯閣一,2015-03-13,2018-02-12,250000000
14322,1432,大魯閣二,2015-03-14,2020-02-13,250000000
14361,1436,華友聯一,2020-04-18,2025-01-17,300000000
14362,1436,華友聯二,2021-03-02,2025-12-01,1000000000
14363,1436,華友聯三,2024-11-28,2027-08-27,600000000
14364,1436,華友聯四,2025-06-19,2028-03-18,2000000000
14381,1438,三地開發一,2025-03-20,2029-12-19,970000000
14422,1442,名軒二,2012-09-02,2015-07-22,800000000
14423,1442,名軒三,2016-01-02,2020-12-01,800000000
14571,1457,宜進一,2011-07-31,2014-06-20,300000000
14641,1464,得力一,2015-06-21,2018-05-20,200000000
14642,1464,得力二,2015-06-22,2018-05-21,250000000
14661,1466,聚隆一,2011-07-01,2014-05-20,300000000
14662,1466,聚隆二,2013-02-15,2018-01-04,300000000
14663,1466,聚隆三,2014-10-25,2019-09-24,400000000
14664,1466,聚隆四,2025-09-21,2028-06-20,400000000
14721,1472,三洋實業一,2019-05-01,2022-01-30,300000000
14722,1472,三洋實業二,2025-08-30,2028-05-29,300000000
14723,1472,三洋實業三,2025-09-18,2028-06-17,400000000
14742,1474,弘裕二,2022-04-27,2025-01-26,300000000
14743,1474,弘裕三,2025-07-01,2028-03-31,300000000
14773,1477,聚陽三,2009-07-22,2014-06-12,600000000
14774,1477,聚陽四,2012-09-25,2017-08-14,700000000
15043,1504,東元三,2012-08-13,2015-07-02,3000000000
15061,1506,正道一,2015-02-24,2018-01-23,700000000
15131,1513,中興電一,2020-04-17,2025-01-16,1500000000
15132,1513,中興電二,2021-03-18,2025-12-17,1500000000
15141,1514,亞力一,2023-11-18,2028-08-17,1000000000
15142,1514,亞力二,2025-04-14,2030-01-13,1200000000
15242,1524,耿鼎二,2005-03-02,2010-01-22,400000000
15243,1524,耿鼎三,2012-02-03,2014-12-22,300000000
15261,1526,日馳一,2023-12-20,2026-09-19,500000000
