date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2015-01-06,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-01-07,0,0,0,0,0,0,0,2,-2,-2,62452,立端二
2015-01-08,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-01-09,0,0,0,0,0,0,5,20,-15,-15,62452,立端二
2015-01-12,0,0,0,0,0,0,5,43,-38,-38,62452,立端二
2015-01-13,0,0,0,0,0,0,5,5,0,0,62452,立端二
2015-01-16,0,0,0,0,0,0,10,0,10,10,62452,立端二
2015-01-19,0,0,0,0,0,0,25,25,0,0,62452,立端二
2015-01-21,0,0,0,0,0,0,36,35,1,1,62452,立端二
2015-01-22,0,0,0,0,0,0,5,5,0,0,62452,立端二
2015-01-23,0,0,0,0,0,0,40,40,0,0,62452,立端二
2015-01-27,0,0,0,0,0,0,2,2,0,0,62452,立端二
2015-01-28,0,0,0,0,0,0,40,40,0,0,62452,立端二
2015-01-29,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2015-01-30,0,0,0,0,0,0,7,9,-2,-2,62452,立端二
2015-02-03,0,0,0,0,0,0,10,27,-17,-17,62452,立端二
2015-02-05,0,0,0,0,0,0,60,62,-2,-2,62452,立端二
2015-02-06,0,0,0,0,0,0,3,13,-10,-10,62452,立端二
2015-02-10,0,0,0,0,0,0,0,9,-9,-9,62452,立端二
2015-02-24,0,0,0,0,0,0,12,11,1,1,62452,立端二
2015-02-26,0,0,0,0,0,0,0,20,-20,-20,62452,立端二
2015-03-06,0,0,0,0,0,0,1,0,1,1,62452,立端二
2015-03-09,0,0,0,0,0,0,0,21,-21,-21,62452,立端二
2015-03-10,0,0,0,0,0,0,20,0,20,20,62452,立端二
2015-03-11,0,0,0,0,0,0,4,18,-14,-14,62452,立端二
2015-03-12,0,0,0,0,0,0,5,31,-26,-26,62452,立端二
2015-03-13,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2015-03-16,0,0,0,0,0,0,0,4,-4,-4,62452,立端二
2015-03-17,0,0,0,0,0,0,0,11,-11,-11,62452,立端二
2015-03-20,0,0,0,0,0,0,41,26,15,15,62452,立端二
2015-03-23,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-03-24,0,0,0,0,0,0,33,20,13,13,62452,立端二
2015-03-25,0,0,0,0,0,0,0,2,-2,-2,62452,立端二
2015-03-26,0,0,0,0,0,0,0,5,-5,-5,62452,立端二
2015-03-30,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2015-03-31,0,0,0,0,0,0,11,10,1,1,62452,立端二
2015-04-01,0,0,0,0,0,0,12,7,5,5,62452,立端二
2015-04-02,0,0,0,0,0,0,18,13,5,5,62452,立端二
2015-04-07,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-04-08,0,0,0,0,0,0,16,16,0,0,62452,立端二
2015-04-09,0,0,0,0,0,0,54,12,42,42,62452,立端二
2015-04-10,0,0,0,0,0,0,24,47,-23,-23,62452,立端二
2015-04-13,0,0,0,0,0,0,30,114,-84,-84,62452,立端二
2015-04-14,0,0,0,0,0,0,15,47,-32,-32,62452,立端二
2015-04-15,0,0,0,0,0,0,26,4,22,22,62452,立端二
2015-04-20,0,0,0,0,0,0,0,1,-1,-1,62452,立端二
2015-04-21,0,0,0,0,0,0,82,113,-31,-31,62452,立端二
2015-04-22,0,0,0,0,0,0,20,20,0,0,62452,立端二
2015-04-29,0,0,0,0,0,0,10,0,10,10,62452,立端二
2015-05-06,0,0,0,0,0,0,8,7,1,1,62452,立端二
2015-05-11,0,0,0,0,0,0,28,24,4,4,62452,立端二
2015-05-22,0,0,0,0,0,0,10,8,2,2,62452,立端二
2015-05-25,0,0,0,0,0,0,30,30,0,0,62452,立端二
2015-05-27,0,0,0,0,0,0,35,45,-10,-10,62452,立端二
2015-06-02,0,0,0,0,0,0,8,12,-4,-4,62452,立端二
2015-06-03,0,0,0,0,0,0,24,19,5,5,62452,立端二
2015-06-10,0,0,0,0,0,0,32,32,0,0,62452,立端二
2015-06-11,0,0,0,0,0,0,30,30,0,0,62452,立端二
2015-06-12,0,0,0,0,0,0,12,12,0,0,62452,立端二
2015-06-15,0,0,0,0,0,0,10,12,-2,-2,62452,立端二
2015-06-17,0,0,0,0,0,0,1,1,0,0,62452,立端二
2015-06-22,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-06-23,0,0,0,0,0,0,75,76,-1,-1,62452,立端二
2015-06-24,0,0,0,0,0,0,18,17,1,1,62452,立端二
2015-06-25,0,0,0,0,0,0,30,58,-28,-28,62452,立端二
2015-06-29,0,0,0,0,0,0,36,28,8,8,62452,立端二
2015-06-30,0,0,0,0,0,0,62,55,7,7,62452,立端二
2015-07-01,0,0,0,0,0,0,2,1,1,1,62452,立端二
2015-07-03,0,0,0,0,0,0,13,13,0,0,62452,立端二
2015-07-07,0,0,0,0,0,0,3,1,2,2,62452,立端二
2015-07-08,0,0,0,0,0,0,12,2,10,10,62452,立端二
2015-07-09,0,0,0,0,0,0,17,7,10,10,62452,立端二
2015-07-14,0,0,0,0,0,0,1,1,0,0,62452,立端二
2015-07-15,0,0,0,0,0,0,1,1,0,0,62452,立端二
2015-07-23,0,0,0,0,0,0,11,11,0,0,62452,立端二
2015-07-30,0,0,0,0,0,0,1,1,0,0,62452,立端二
2015-08-03,0,0,0,0,0,0,46,35,11,11,62452,立端二
2015-08-04,0,0,0,0,0,0,30,63,-33,-33,62452,立端二
2015-08-06,0,0,0,0,0,0,0,1,-1,-1,62452,立端二
2015-08-10,0,0,0,0,0,0,7,5,2,2,62452,立端二
2015-08-14,0,0,0,0,0,0,20,20,0,0,62452,立端二
2015-08-20,0,0,0,0,0,0,22,22,0,0,62452,立端二
2015-08-28,0,0,0,0,0,0,110,57,53,53,62452,立端二
2015-08-31,0,0,0,0,0,0,45,45,0,0,62452,立端二
2015-09-02,0,0,0,0,0,0,35,35,0,0,62452,立端二
2015-09-03,0,0,0,0,0,0,63,63,0,0,62452,立端二
2015-09-04,0,0,0,0,0,0,60,60,0,0,62452,立端二
2015-09-07,0,0,0,0,0,0,50,30,20,20,62452,立端二
2015-09-08,0,0,0,0,0,0,30,30,0,0,62452,立端二
2015-09-09,0,0,0,0,0,0,49,52,-3,-3,62452,立端二
2015-09-10,0,0,0,0,0,0,23,20,3,3,62452,立端二
2015-09-14,0,0,0,0,0,0,80,80,0,0,62452,立端二
2015-09-21,0,0,0,0,0,0,4,5,-1,-1,62452,立端二
2015-09-30,0,0,0,0,0,0,22,2,20,20,62452,立端二
2015-10-01,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-10-05,0,0,0,0,0,0,26,26,0,0,62452,立端二
2015-10-07,0,0,0,0,0,0,45,45,0,0,62452,立端二
2015-10-15,0,0,0,0,0,0,45,45,0,0,62452,立端二
2015-10-21,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-10-26,0,0,0,0,0,0,5,5,0,0,62452,立端二
2015-10-27,0,0,0,0,0,0,27,26,1,1,62452,立端二
2015-10-29,0,0,0,0,0,0,2,2,0,0,62452,立端二
2015-11-02,0,0,0,0,0,0,5,5,0,0,62452,立端二
2015-11-03,0,0,0,0,0,0,24,24,0,0,62452,立端二
2015-11-04,0,0,0,0,0,0,30,30,0,0,62452,立端二
2015-11-05,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-11-09,0,0,0,0,0,0,10,10,0,0,62452,立端二
2015-11-10,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2015-11-17,0,0,0,0,0,0,20,22,-2,-2,62452,立端二
