date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2015-01-05,549240,43002560,46.871831,46.871831,46.454928,46.693159,-0.23823,359
2015-01-06,376508,29378337,46.454928,46.633601,46.216698,46.395371,-0.297788,267
2015-01-07,421000,33221400,46.454928,47.288735,46.395371,47.050504,0.655133,337
2015-01-08,662340,51977960,47.229177,47.526965,46.514486,46.514486,-0.536018,484
2015-01-09,583200,45286519,46.931389,46.931389,45.91891,46.097583,-0.416903,453
2015-01-12,641528,49457756,46.097583,46.574043,45.502007,45.621122,-0.476461,440
2015-01-13,276100,21227220,45.561564,46.038025,45.561564,45.680679,0.059557,198
2015-01-14,792007,59949439,45.680679,45.799795,44.727758,44.846873,-0.833806,546
2015-01-15,1138300,86696910,44.965988,45.978467,44.906431,45.502007,0.655134,877
2015-01-16,2093205,153043049,45.621122,45.680679,42.94103,43.298375,-2.203632,1473
2015-01-19,1310395,93909262,43.774836,43.774836,42.166781,42.166781,-1.131594,970
2015-01-20,1231573,89164543,42.166781,43.893951,42.107223,43.477048,1.310267,919
2015-01-21,1148260,85765152,43.774836,45.144661,43.298375,44.489527,1.012479,826
2015-01-22,1072333,81388640,45.144661,45.561564,44.846873,45.263776,0.774249,736
2015-01-23,630300,47821300,45.442449,45.442449,44.846873,45.323334,0.059558,473
2015-01-26,548150,41346479,45.025546,45.323334,44.549085,44.608643,-0.714691,340
2015-01-27,431000,32382700,44.608643,45.144661,44.489527,44.6682,0.059557,255
2015-01-28,228043,17190385,44.787315,45.204219,44.549085,44.787315,0.119115,191
2015-01-29,190000,14270000,44.906431,44.906431,44.549085,44.846873,0.059558,136
2015-01-30,125250,9403324,44.965988,45.025546,44.549085,44.549085,-0.297788,107
2015-02-02,540350,40042809,44.906431,44.906431,43.596163,44.42997,-0.119115,376
2015-02-03,301000,22413000,44.42997,44.787315,44.013067,44.608643,0.178673,236
2015-02-04,322020,24179018,44.846873,44.906431,44.42997,44.787315,0.178672,243
2015-02-05,256040,19274136,44.787315,45.025546,44.6682,44.6682,-0.119115,216
2015-02-06,566200,43032940,44.906431,45.680679,44.906431,45.263776,0.595576,467
2015-02-09,531300,39784400,45.025546,45.144661,44.370412,44.42997,-0.833806,419
2015-02-10,430200,31846100,44.42997,44.6682,43.774836,43.774836,-0.655134,331
2015-02-11,362250,26498675,43.953509,43.953509,43.238818,43.357933,-0.416903,269
2015-02-12,339200,24486300,43.417491,43.417491,42.881472,42.94103,-0.416903,284
2015-02-13,311100,22552710,43.17926,43.596163,42.881472,43.000587,0.059557,229
2015-02-24,155000,11239200,43.477048,43.477048,43.000587,43.17926,0.178673,116
2015-02-25,358100,26384120,43.357933,44.191739,43.357933,44.132182,0.952922,302
2015-02-26,278535,20699243,44.132182,44.42997,43.893951,44.310855,0.178673,227
2015-03-02,787000,59411697,44.42997,45.263776,44.42997,45.144661,0.833806,625
2015-03-03,614300,46868558,45.144661,45.859352,44.965988,45.323334,0.178673,458
2015-03-04,325020,24541820,45.323334,45.382891,44.787315,44.846873,-0.476461,242
2015-03-05,377040,28673472,45.204219,45.561564,44.965988,45.204219,0.357346,268
2015-03-06,806716,62079691,45.442449,46.038025,45.442449,46.038025,0.833806,572
2015-03-09,601044,45786744,45.502007,45.740237,45.025546,45.144661,-0.893364,408
2015-03-10,432100,32369929,45.144661,45.144661,44.132182,44.6682,-0.476461,308
