date,day_trade_volume,day_trade_ratio
2026-06-16,2000,0.194875
2026-06-17,0,0.0
2026-06-18,3000,0.373739
2026-06-22,1000,0.160668
2026-06-23,1000,0.110816
2026-06-24,0,0.0
2026-06-25,0,0.0
2026-06-26,3000,0.124974
2026-06-29,1000,0.259808
2026-06-30,0,0.0
2026-07-01,1000,0.124224
2026-07-02,48000,0.075364
2026-07-03,49000,0.082427
2026-07-06,3000,0.149492
2026-07-07,1000,0.111346
2026-07-08,1000,0.410678
2026-07-09,0,0.0
2026-07-13,0,0.0
2026-07-14,0,0.0
2026-07-15,3000,0.6
2026-07-16,2000,0.249439
2026-07-17,0,
