date,stock_id,stock_name
2022-05-27,0054,元大台商50
2019-12-13,0058,富邦發達
2019-12-23,0059,富邦金融
2016-02-26,0060,新台灣
2019-12-30,00649,FH香港
2020-02-04,00658L,國泰日本正2
2020-02-04,00659R,國泰日本反1
2018-12-19,00667,元大韓國
2020-11-13,00672L,元大S&P原油正2
2021-06-03,00677U,期富邦VIX
2020-11-24,00691R,兆豐藍籌30反1
2018-07-30,00698L,元大美債7-10正2
2018-08-07,00699R,元大美債7-10反1
2018-11-30,00704L,台新MSCI台灣正2
2018-11-27,00705R,台新MSCI台灣反1
2019-08-08,00716R,華頓S&P布蘭特反1
2025-06-18,00718B,富邦中國政策債
2024-10-11,00721B,元大中國債3-5
2019-06-25,00729R,第一金工業30反1
2023-04-21,00732,國泰RMB短期報酬
2022-05-19,00742,新光內需收益
2022-09-29,00743,國泰中國A150
2023-11-17,00744B,國泰中國政金債5+
2022-12-08,00745B,富邦中政債0-1
2022-12-23,00747B,FH中國政策債
2023-02-17,00748B,凱基中國債3-10
2023-05-29,00765B,群益中國政金債
2020-11-23,00766L,台新MSCI中國正2
2020-05-05,00767,FH美國金融股
2023-02-15,00774B,新光中國政金綠債
2022-11-28,00774C,新光中政金綠債+R
2020-08-11,00776,新光ICE美國權值
2025-04-23,00784B,富邦中國投等債
2025-04-16,00790B,復華次順位金融債
2025-08-22,00794B,群益7+中國政金債
2022-08-24,00796B,中信中國債7-10
2020-07-14,00798B,國泰中企A級債7+
2015-12-09,0080,恒中國
2015-12-09,0081,恒香港
2022-08-11,008201,BP上證50
2024-07-17,00831B,新光美債1-3
2021-09-09,00832B,新光美債20+
2020-11-30,00833B,第一金美債20+
2020-06-23,00835B,第一金科技債10+
2020-06-30,00837B,永豐15年金融債
2022-05-30,00838B,永豐7-10年中國債
2021-08-02,00839B,凱基醫療保健債
2022-07-19,00843B,台新中國政策債
2020-12-01,00854B,富邦全球保險債
2020-12-01,00855B,富邦全球能源債
2021-01-08,00866,新光Shiller CAPE
2021-05-11,00868B,FT1-3年美公債
2021-08-16,00869B,FT10-25年公司債
2021-02-26,00871B,元大中國政金債
2021-10-05,00872B,凱基美債1-3
2021-02-19,00873B,凱基新興債1-5
2021-02-19,00874B,凱基BBB公司債15+
2021-10-05,00879B,第一金美債0-1
2021-10-05,00880B,第一金電信債15+
2026-05-06,00883B,中信ESG投資級債
2022-06-21,00889B,凱基ESG新興債15+
2023-07-06,00906,大華元宇宙科技50
2025-06-05,00925,新光標普電動車
2007-10-20,1107,建台水泥
2005-10-04,1204,津津
2007-04-11,1207,嘉新食化
2005-10-28,1212,中日國際
2002-01-17,1214,尚德實業
2003-06-18,1221,久津實業
2003-01-09,1222,源益農畜
2004-07-07,1224,惠勝實業
2002-09-16,1226,立大農畜
2004-03-15,1228,臺芳開發
2001-11-01,1230,聯成食品
2023-06-09,1258,其祥-KY
2019-10-14,1262,綠悅-KY
2005-10-04,1306,合發興業
2008-04-23,1311,福聚
2001-11-30,1317,尚鋒興業
2020-11-17,1333,恩得利工業股份有限公司
2003-11-10,1407,華隆
2006-06-26,1408,中興紡織
2003-05-06,1422,民興國際
2002-11-08,1431,新燕實業
2005-07-05,1450,新藝纖維
2004-04-28,1458,嘉新畜產
2005-07-05,1462,東雲
2018-07-11,1469,理隆纖維
2001-01-20,1505,楊鐵工廠
2022-04-21,1507,永大
2001-07-02,1509,元富鋁業
2003-09-30,1510,台安電機
2008-01-01,1520,復盛
2010-09-01,1523,臺灣開億
2004-12-16,1534,新企
2019-07-31,1566,捷邦國際科技股份有限公司
2022-01-27,1592,英瑞-KY
2007-10-15,1601,台灣日光燈
2004-04-28,1602,太平洋電纜
2008-11-06,1606,歌林
2017-11-21,1613,台一
2024-09-02,1701,中化
2019-01-30,1704,榮化
2017-10-25,1715,萬洲化學
2011-01-03,1716,永信藥品
2021-11-01,1724,台硝
2018-01-02,1729,必翔實業
2019-11-29,1787,福盈科技化學股份有限公司
2006-08-08,1807,羅馬磁磚
2020-06-01,1902,台紙
2003-01-08,2005,友力工業
2001-01-20,2011,彥武企業
2002-04-17,2016,名佳利金屬
2001-01-20,2019,桂宏企業
2001-04-10,2202,三富汽車
2002-11-08,2304,誠洲
2002-03-21,2306,宏碁電腦
2002-11-04,2310,旭麗
2018-04-30,2311,日月光
2013-09-12,2315,神達電腦
2005-07-05,2318,佳錄
2004-08-30,2319,大眾電腦
2002-11-04,2322,致福
2018-04-30,2325,矽品
2006-06-26,2326,亞瑟科技
2007-06-20,2333,碧悠電子
2001-01-20,2334,國豐企業
2006-07-12,2335,清三電子
2007-12-28,2336,致伸
2010-10-16,2341,英群
2007-01-01,2343,精業
2010-06-17,2350,環電
2024-11-19,2358,廷鑫
2015-12-28,2361,	鴻友科技
2006-03-01,2366,亞旭電腦
2005-09-01,2370,匯僑工業
2006-07-12,2378,鴻運電子
2009-07-12,2381,華宇光能
2015-07-07,2384,勝華科技
2004-04-01,2386,國碁電子
2005-10-30,2389,世昕企業
2010-08-16,2391,合勤科技
2006-12-01,2394,普立爾
2009-04-08,2396,精碟科技
2004-09-08,2398,博達科技
2010-11-15,2403,友尚
2006-05-10,2407,陞技電腦
2007-03-19,2410,鼎大興業
2008-10-31,2411,飛瑞
2005-11-09,2416,世平興業
2008-01-14,2418,雅新實業
2005-12-30,2422,國聯光電
2005-05-03,2435,台灣電路
2017-06-30,2437,旺詮
2024-11-19,2443,昶虹
2003-06-18,2445,南方
2009-12-01,2446,全懋
2008-01-31,2447,鼎新
2021-01-06,2448,晶電
2010-03-31,2452,乾坤
2022-01-05,2456,奇力新
2011-06-01,2463,研揚
2007-07-30,2469,力信
2005-11-09,2470,品佳
2012-11-30,2473,思源
2019-05-13,2475,華映
2007-12-24,2479,和立
2006-10-24,2487,友立資
2004-12-16,2490,皇統
2008-10-27,2494,突破
2020-11-10,2499,東貝
2003-11-12,2512,寶成建設
2003-01-22,2517,長谷科技
2003-04-23,2518,長億實業
2001-05-15,2519,宏福建設
2003-06-03,2521,宏總建設
2001-08-24,2522,啟阜工程
2007-03-12,2523,德寶營造
2005-01-05,2525,寶祥實業
2010-04-08,2526,大陸工程
2002-11-08,2531,三采建設
2006-02-07,2533,昱成科技
2005-03-21,2544,益鼎光電
2002-11-01,2604,立榮海運
2007-08-30,2628,正利航業股份有限公司
2003-01-02,2802,第一銀行
2001-12-19,2803,華南銀行
2001-12-31,2804,中華開發
2001-12-31,2805,國泰人壽
2002-12-31,2806,中國商銀
2007-01-18,2807,新竹商銀
2005-12-26,2808,台北商銀
2025-10-01,2809,京城銀
2002-01-17,2810,高雄企銀
2006-12-19,2811,台東企銀
2002-03-26,2813,國際票券
2002-08-22,2814,中興票券
2002-05-17,2815,中國信託
2001-12-19,2817,富邦產保
2002-02-19,2818,新光人壽
2002-12-31,2819,中國產險
2002-02-04,2821,復華證金
2006-05-01,2822,農民銀行
2021-12-30,2823,中壽
2002-02-04,2824,交通銀行
2006-09-14,2825,中央產保
2002-12-18,2826,世華銀行
2007-04-30,2827,中聯信託
2003-09-30,2828,萬通銀行
2002-02-18,2829,大安銀行
2002-12-23,2830,台北銀行
2007-06-20,2831,中華商銀
2015-10-15,2833,台灣人壽
2002-04-22,2835,匯通銀行
2014-09-15,2837,萬泰銀行
2002-05-09,2839,華信銀行
2002-01-28,2840,玉山銀行
2022-08-04,2841,台開
2001-12-19,2842,富邦銀行
2002-08-01,2843,亞太銀行
2002-02-18,2844,台新銀行
2002-01-17,2846,中興銀行
2016-03-22,2847,大眾銀行
2003-08-15,2848,華南產保
2011-10-03,2854,寶來證
2018-10-01,2856,元富證券
2025-07-24,2888,新光金
2005-06-13,2902,中信
2001-02-20,2914,台灣工礦
2009-12-31,2921,特力和樂股份有限公司
2021-10-22,2928,紅馬-KY
2022-06-27,2936,客思達-KY
2004-11-15,3001,協和
2007-04-13,3007,綠點
2010-03-18,3009,奇美
2006-10-01,3012,廣輝
2008-01-10,3020,奇普仕
2005-11-13,3039,宏傳
2007-10-20,3053,鼎營
2014-12-30,3061,璨圓
2010-04-01,3063,飛信
2018-06-13,3068,美磊科技股份有限公司
2013-04-29,3069,台灣金屬礦業股份有限公司
2008-06-04,3079,宏億國際股份有限公司
2013-02-01,3080,威力盟
2013-04-30,3087,翔準先進光罩股份有限公司
2024-03-04,3089,億杰
2010-04-12,3099,頂倫企業股份有限公司
2016-04-06,3126,信億科技股份有限公司
2007-06-20,3142,遠茂
2021-12-20,3144,新揚科
2025-07-21,3202,樺晟
2007-03-01,3214,元砷
2008-06-30,3271,其樂達
2016-10-06,3291,遠翔科技股份有限公司
2008-10-01,3298,圓創科技股份有限公司
2018-11-29,3299,帛漢股份有限公司
2017-10-01,3315,宣昶
2011-10-07,3367,英華達
2008-12-01,3369,鐵研科技股份有限公司
2022-09-26,3383,新世紀
2012-02-01,3389,志遠電子股份有限公司
2026-06-08,3426,台興
2018-10-01,3428,光燿科技股份有限公司
2019-09-02,3431,長天科技股份有限公司
2020-01-13,3452,益通光能科技股份有限公司
2026-03-27,3454,晶睿
2016-12-06,3474,華亞科
2018-10-01,3514,昱晶
2019-05-02,3519,綠能
2011-10-01,3534,雷凌
2023-06-26,3536,誠創
2017-10-01,3553,力積電子股份有限公司
2017-08-30,3559,全智科
2018-10-01,3561,昇陽光電
2020-02-27,3562,頂晶科技股份有限公司
2016-07-01,3573,穎台
2019-06-26,3579,尚志
2014-12-31,3582,凌耀科技股份有限公司
2016-08-03,3584,介面
2016-06-01,3598,奕力
2013-05-31,3599,旺能
2010-10-01,3614,誠致
2014-09-10,3638,F-IML
2023-06-27,3642,駿熠電
2016-11-22,3658,漢民微測科技股份有限公司
2017-10-19,3662,樂陞科技股份有限公司
2023-12-15,3682,亞太電
2014-02-01,3697,F-晨星
2021-01-06,3698,隆達
2001-09-17,4101,五鼎生物技術
2018-11-13,4103,百略醫學科技股份有限公司
2004-09-24,4110,博登
2002-08-26,4112,杏輝藥品工業
2026-07-28,4130,健亞
2022-05-03,4141,龍燈-KY
2020-10-30,4144,康聯-KY
2021-10-08,4152,台微體
2019-08-05,4180,安成國際藥業股份有限公司
2000-09-11,4201,興泰
1997-10-02,4202,正義食品
1999-01-20,4203,天仁茶業
2001-09-17,4204,宏亞食品
2000-09-11,4301,永裕
2000-09-11,4302,地球
2001-09-03,4403,東榮纖維工業
2004-06-24,4404,百成行
2000-10-27,4405,本盟紡織
2000-09-11,4407,三洋紡織
2012-04-30,4408,聯明行動科技股份有限公司
2000-09-11,4409,恆大
2000-09-11,4410,台南企業
2000-03-06,4411,首利實業
2000-10-31,4412,弘裕
2019-12-16,4415,台原藥股份有限公司
2022-05-31,4429,聚紡
1995-11-14,4501,利奇機械
2000-09-11,4504,勤美
1998-10-30,4505,耿鼎企業
2000-09-11,4507,錩新
2000-03-14,4509,漢唐訊聯
2000-09-11,4512,恩德
2000-09-11,4514,樂士
2001-09-17,4515,新企工程
2002-08-26,4516,正峰工業
2000-09-11,4517,亞崴
2000-06-21,4519,鑽全
2002-08-26,4520,喬福機械工業
2000-09-11,4521,高林
2004-05-31,4522,大寶精密工具
2001-09-17,4524,中宇環保工程
2001-09-17,4525,和大工業
2002-10-29,4531,巨庭機械
1997-09-18,4602,三洋電機
2000-09-11,4603,燦坤
2000-09-11,4604,億泰
2000-03-30,4606,大山
2000-09-11,4607,榮星
2000-09-11,4608,合機電線電纜
2001-09-17,4701,美吾華
2016-03-30,4703,揚華科技股份有限公司
1999-03-12,4704,泰銘實業
2000-09-11,4705,元禎
2000-09-11,4708,永記
2000-09-11,4709,台灣中華化學
2024-09-25,4712,南璋
2001-09-17,4713,毛寶
2001-09-17,4715,花仙子企業
2003-11-17,4717,天泰
2002-08-26,4718,日勝化工
2021-01-18,4725,信昌化
2016-08-31,4733,上緯
2017-08-01,4762,三汰控股(開曼)股份有限公司
2007-10-24,4801,碼斯特科技股份有限公司
2021-12-27,4803,VHQ-KY
2002-08-26,4901,台灣大哥大
2002-08-26,4902,星通資訊
2005-12-01,4910,陽慶電子
2023-11-01,4944,兆遠
2025-09-08,4945,陞達科技
2020-05-28,4947,昂寶電子股份有限公司
2018-06-22,4965,商店街市集國際資訊股份有限公司
2018-09-01,4984,科納-KY
2026-05-29,4987,科誠
2000-02-22,5002,住聯工業
2000-09-11,5003,新鋼
2000-09-11,5004,新光鋼鐵
2000-09-11,5005,佳大
2005-03-10,5006,高鋁金屬
2001-06-12,5008,長銘實業
2001-09-17,5012,允強實業
2008-04-10,5017,新泰伸科技股份有限公司
2022-07-15,5102,富強
2008-04-29,5204,得捷股份有限公司
2007-05-29,5207,飛雅高科技股份有限公司
2003-09-23,5208,蔚華
2026-07-16,5236,凌陽創新
2018-11-30,5255,美桀科技股份有限公司
2020-01-09,5259,奕智博
2014-12-25,5261,創傑科技股份有限公司
2021-01-15,5264,鎧勝-KY
2016-03-24,5266,"Auto Server Co., Ltd."
2015-01-02,5280,F-敦泰
2023-10-31,5281,大峽谷-KY
1995-09-23,5303,精業
2020-11-20,5304,鼎創達
2020-11-30,5305,敦南
2003-05-22,5307,耀文
1997-04-02,5308,藍天電腦
2000-09-11,5311,新巨
2001-01-08,5313,皇旗資訊
1999-06-15,5316,云辰電子
2019-09-30,5317,凱美電機股份有限公司
2009-09-08,5318,佳鼎科技股份有限公司
2000-09-11,5319,英誌
1998-11-27,5320,台光電子
2000-09-11,5322,偉詮
2000-09-11,5323,聯昌
2005-10-31,5325,大騰電子
2000-09-11,5327,圓剛科技
1998-10-14,5329,鴻運電子
2000-01-27,5330,凌陽科技
1998-10-26,5331,瑞昱
2002-01-24,5332,旭龍精密工業
2001-07-26,5333,佳茂
1999-11-04,5334,億光電子
2001-09-17,5335,華新科技
2005-11-17,5336,華特
2000-09-11,5337,隴華
1999-08-12,5338,合勤科技
1999-03-04,5339,世昕企業
2000-09-11,5341,承啟
2000-09-11,5342,精技
2000-12-21,5343,矽豐
2012-12-11,5346,力晶科技股份有限公司
2020-11-04,5349,先豐
1999-11-29,5350,精碟科技
2000-09-11,5352,雅新
2002-08-26,5354,億聲電子
2000-09-11,5357,美律實業
2000-09-11,5358,建準
2000-09-11,5359,環隆
2000-09-11,5360,統懋
2000-09-11,5361,仲琦
2000-09-11,5362,鼎元光電
2002-08-26,5363,欣興電子
2000-09-11,5365,世平
2000-03-17,5366,浩鑫
2000-09-11,5367,國聯光電
2000-09-11,5368,旺詮
1999-12-16,5369,映泰
2000-09-11,5370,台灣電路
2004-03-17,5372,十美企業
1999-10-27,5373,普立爾
2000-09-11,5374,固緯
2003-08-15,5375,台灣慧智
2005-06-28,5376,東正元電路
2000-09-11,5377,興勤
2001-09-17,5378,友立資訊
2001-09-17,5379,資通電腦
2000-09-11,5380,永兆精密
2000-09-11,5382,三商電腦
2024-05-31,5383,金利
2017-09-01,5384,捷元股份有限公司
2004-12-29,5385,瑩寶科技
2012-03-26,5387,茂德科技股份有限公司
2001-09-17,5389,麗臺科技
2000-09-11,5390,倚天
2000-09-11,5391,互盛
2002-08-26,5393,揚智科技
2001-09-17,5394,百容電子
2017-02-18,5395,圓方創新股份有限公司
2001-09-17,5396,大毅科技
2001-09-17,5397,志聖工業
2001-09-17,5399,敦吉科技
