date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2015-01-30,46592159,87609,39676861,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-02-26,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-03-31,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-04-30,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-08,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-15,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-29,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-05,46592159,87609,39645248,28141932,28141932,18450227,0.604006,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-12,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-18,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-26,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-03,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-09,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-17,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-24,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-31,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-14,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-21,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-28,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-04,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-18,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-08,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-23,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-30,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-13,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-04,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-11,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-18,46592159,87609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-25,46592159,88609,39952248,28448932,28448932,18143227,0.610595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-31,46592159,88609,39710248,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-08,46592159,88609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-15,46592159,88609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-22,46592159,88609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-30,46592159,88609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-03,46592159,88609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-19,46592159,89609,39702345,28206932,28206932,18385227,0.605401,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-26,46592159,94609,40076345,27123932,27123932,19468227,0.582157,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-04,46592159,94609,40076345,27123932,27123932,19468227,0.582157,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-11,46592159,94609,40076345,27123932,27123932,19468227,0.582157,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-18,46592159,94609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-25,46592159,94609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-01,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-15,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-27,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-04,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-08,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-24,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-07,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-15,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-22,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-29,46592159,93609,40096345,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-05,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-12,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-19,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-26,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-10,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-14,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-23,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-07,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-14,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-21,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-11-04,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-02,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-30,46592159,93609,40095136,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-06,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-13,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-20,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-10,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-18,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-24,46592159,92609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-03,46592159,92609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-10,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-24,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-31,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-14,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-21,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-28,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-12,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-19,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-26,46592159,93609,40094656,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-09,46592159,93609,40094477,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-23,46592159,93609,40094477,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-07,46592159,93609,39689477,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-14,46592159,93609,39546604,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-21,46592159,93609,39543992,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-28,46592159,93609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-11,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-18,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-01,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-08,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-15,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-30,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-06,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-13,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-20,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-27,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-11-03,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
2017-11-10,46592159,92609,39532284,27143932,27143932,19448227,0.582586,finmind,2026-07-22T04:17:31.412074+08:00
