date,level,people,holding_shares,percent
2026-03-13,"1,000-5,000",155952,313412166,2.25
2026-03-13,1-999,214128,22511178,0.16
2026-03-13,"10,001-15,000",18484,220099076,1.58
2026-03-13,"100,001-200,000",3180,429687863,3.08
2026-03-13,"15,001-20,000",8473,146251029,1.05
2026-03-13,"20,001-30,000",9507,228014401,1.63
2026-03-13,"200,001-400,000",1181,320755504,2.3
2026-03-13,"30,001-40,000",5053,173578062,1.24
2026-03-13,"40,001-50,000",2834,126117886,0.9
2026-03-13,"400,001-600,000",345,166402516,1.19
2026-03-13,"5,001-10,000",35462,242651187,1.74
2026-03-13,"50,001-100,000",6054,415783624,2.98
2026-03-13,"600,001-800,000",145,98146218,0.7
2026-03-13,"800,001-1,000,000",108,95757826,0.68
2026-03-13,"more than 1,000,001",578,10917796553,78.44
2026-03-13,total,461484,13916965089,100.0
2026-03-13,差異數調整（說明4）,0,0,0.0
2026-03-20,"1,000-5,000",158017,316411873,2.27
2026-03-20,1-999,219171,22548891,0.16
2026-03-20,"10,001-15,000",18513,220439828,1.58
2026-03-20,"100,001-200,000",3172,428299196,3.07
2026-03-20,"15,001-20,000",8491,146511260,1.05
2026-03-20,"20,001-30,000",9516,228344067,1.64
2026-03-20,"200,001-400,000",1181,320392280,2.3
2026-03-20,"30,001-40,000",5057,173689676,1.24
2026-03-20,"40,001-50,000",2832,126067312,0.9
2026-03-20,"400,001-600,000",347,167307384,1.2
2026-03-20,"5,001-10,000",35553,243474103,1.74
2026-03-20,"50,001-100,000",6056,415985482,2.98
2026-03-20,"600,001-800,000",143,96806273,0.69
2026-03-20,"800,001-1,000,000",110,97642181,0.7
2026-03-20,"more than 1,000,001",570,10913045283,78.41
2026-03-20,total,468729,13916965089,100.0
2026-03-20,差異數調整（說明4）,0,0,0.0
2026-03-27,"1,000-5,000",158860,317525072,2.28
2026-03-27,1-999,221062,22578460,0.16
2026-03-27,"10,001-15,000",18494,220225361,1.58
2026-03-27,"100,001-200,000",3172,428174111,3.07
2026-03-27,"15,001-20,000",8457,145943410,1.04
2026-03-27,"20,001-30,000",9485,227627331,1.63
2026-03-27,"200,001-400,000",1174,318756816,2.29
2026-03-27,"30,001-40,000",5042,173171748,1.24
2026-03-27,"40,001-50,000",2818,125433643,0.9
2026-03-27,"400,001-600,000",342,165071757,1.18
2026-03-27,"5,001-10,000",35524,243338848,1.74
2026-03-27,"50,001-100,000",6050,415613493,2.98
2026-03-27,"600,001-800,000",149,100883265,0.72
2026-03-27,"800,001-1,000,000",105,93186871,0.66
2026-03-27,"more than 1,000,001",570,10919434903,78.46
2026-03-27,total,471304,13916965089,100.0
2026-03-27,差異數調整（說明4）,0,0,0.0
2026-04-02,"1,000-5,000",161253,320096397,2.3
2026-04-02,1-999,228076,22533409,0.16
2026-04-02,"10,001-15,000",18509,220443348,1.58
2026-04-02,"100,001-200,000",3172,428268199,3.07
2026-04-02,"15,001-20,000",8450,145824218,1.04
2026-04-02,"20,001-30,000",9483,227598239,1.63
2026-04-02,"200,001-400,000",1175,319404002,2.29
2026-04-02,"30,001-40,000",5044,173255951,1.24
2026-04-02,"40,001-50,000",2812,125147392,0.89
2026-04-02,"400,001-600,000",341,164600008,1.18
2026-04-02,"5,001-10,000",35554,243573867,1.75
2026-04-02,"50,001-100,000",6048,415570476,2.98
2026-04-02,"600,001-800,000",145,98260849,0.7
2026-04-02,"800,001-1,000,000",104,92573751,0.66
2026-04-02,"more than 1,000,001",565,10919814983,78.46
2026-04-02,total,480731,13916965089,100.0
2026-04-02,差異數調整（說明4）,0,0,0.0
2026-04-10,"1,000-5,000",163614,322398981,2.31
2026-04-10,1-999,232309,22485246,0.16
2026-04-10,"10,001-15,000",18469,219918341,1.58
2026-04-10,"100,001-200,000",3165,427152737,3.06
2026-04-10,"15,001-20,000",8420,145293326,1.04
2026-04-10,"20,001-30,000",9474,227434804,1.63
2026-04-10,"200,001-400,000",1174,318649614,2.28
