date,leading,leading_notrend,coincident,coincident_notrend,lagging,lagging_notrend,monitoring,monitoring_color
2010-01-01,59.74,106.83,57.96,103.66,48.84,87.33,38.0,R
2010-02-01,60.08,106.66,59.05,104.83,49.9,88.58,38.0,R
2010-03-01,60.39,106.42,59.98,105.69,51.01,89.88,39.0,R
2010-04-01,60.69,106.16,60.75,106.26,52.14,91.2,39.0,R
2010-05-01,60.99,105.88,61.4,106.59,53.31,92.55,37.0,YR
2010-06-01,61.31,105.67,61.95,106.76,54.44,93.82,37.0,YR
2010-07-01,61.74,105.64,62.45,106.86,55.48,94.92,38.0,R
2010-08-01,62.27,105.8,62.95,106.95,56.41,95.84,38.0,R
2010-09-01,62.88,106.09,63.49,107.12,57.26,96.61,37.0,YR
2010-10-01,63.47,106.37,64.08,107.39,58.07,97.31,34.0,YR
2010-11-01,64.01,106.58,64.7,107.72,58.89,98.05,32.0,YR
2010-12-01,64.44,106.63,65.26,107.99,59.79,98.92,34.0,YR
2011-01-01,64.73,106.46,65.68,108.01,60.78,99.95,34.0,YR
2011-02-01,64.89,106.11,65.91,107.76,61.82,101.08,34.0,YR
2011-03-01,64.92,105.56,65.93,107.21,62.87,102.22,31.0,G
2011-04-01,64.81,104.82,65.76,106.35,63.88,103.31,29.0,G
2011-05-01,64.61,103.97,65.44,105.31,64.79,104.26,27.0,G
2011-06-01,64.31,102.98,65.04,104.15,65.56,104.99,25.0,G
2011-07-01,63.92,101.88,64.58,102.93,66.2,105.5,23.0,G
2011-08-01,63.43,100.65,64.1,101.7,66.65,105.76,20.0,YB
2011-09-01,62.95,99.46,63.63,100.53,66.9,105.7,21.0,YB
2011-10-01,62.62,98.53,63.26,99.54,66.99,105.41,19.0,YB
2011-11-01,62.57,98.06,63.03,98.77,66.98,104.97,16.0,B
2011-12-01,62.84,98.1,62.97,98.31,66.9,104.43,14.0,B
2012-01-01,63.39,98.59,63.13,98.19,66.77,103.84,13.0,B
2012-02-01,63.95,99.09,63.47,98.35,66.67,103.32,15.0,B
2012-03-01,64.33,99.34,63.97,98.77,66.71,103.01,14.0,B
2012-04-01,64.56,99.34,64.38,99.07,66.83,102.84,14.0,B
2012-05-01,64.66,99.16,64.65,99.14,66.96,102.68,15.0,B
2012-06-01,64.71,98.89,64.78,98.99,67.04,102.46,15.0,B
2012-07-01,64.73,98.6,64.87,98.81,67.06,102.14,16.0,B
2012-08-01,64.79,98.36,64.94,98.59,67.11,101.88,15.0,B
2012-09-01,64.93,98.26,65.01,98.37,67.18,101.66,20.0,YB
2012-10-01,65.18,98.32,65.1,98.2,67.27,101.48,19.0,YB
2012-11-01,65.59,98.62,65.25,98.11,67.42,101.37,21.0,YB
2012-12-01,66.13,99.12,65.53,98.22,67.63,101.36,22.0,YB
2013-01-01,66.73,99.7,65.98,98.57,67.85,101.37,19.0,YB
2013-02-01,67.35,100.3,66.45,98.97,68.14,101.49,20.0,YB
2013-03-01,67.93,100.86,66.96,99.41,68.4,101.55,18.0,YB
2013-04-01,68.43,101.28,67.45,99.84,68.57,101.48,17.0,YB
2013-05-01,68.8,101.51,67.9,100.18,68.63,101.26,19.0,YB
2013-06-01,69.07,101.59,68.2,100.32,68.62,100.94,23.0,G
2013-07-01,69.28,101.59,68.31,100.17,68.62,100.63,20.0,YB
2013-08-01,69.48,101.58,68.37,99.95,68.69,100.42,20.0,YB
2013-09-01,69.78,101.71,68.45,99.77,68.8,100.28,20.0,YB
2013-10-01,70.22,102.05,68.61,99.7,68.92,100.16,21.0,YB
2013-11-01,70.78,102.56,68.87,99.79,69.02,100.01,21.0,YB
2013-12-01,71.42,103.2,69.23,100.03,69.1,99.85,24.0,G
2014-01-01,72.11,103.89,69.67,100.38,69.2,99.71,22.0,YB
2014-02-01,72.67,104.42,70.23,100.91,69.38,99.69,25.0,G
2014-03-01,73.08,104.73,70.85,101.53,69.68,99.86,25.0,G
2014-04-01,73.32,104.81,71.49,102.18,70.05,100.12,29.0,G
2014-05-01,73.41,104.66,72.06,102.75,70.41,100.39,24.0,G
2014-06-01,73.35,104.34,72.55,103.19,70.71,100.57,26.0,G
2014-07-01,73.25,103.95,72.93,103.5,70.97,100.72,27.0,G
2014-08-01,73.07,103.46,73.22,103.68,71.19,100.81,29.0,G
2014-09-01,72.85,102.93,73.39,103.71,71.41,100.9,27.0,G
2014-10-01,72.67,102.48,73.49,103.64,71.7,101.11,24.0,G
2014-11-01,72.61,102.2,73.54,103.51,72.06,101.42,25.0,G
2014-12-01,72.63,102.04,73.51,103.28,72.45,101.79,22.0,YB
2015-01-01,72.65,101.9,73.43,102.99,72.88,102.22,23.0,G
2015-02-01,72.62,101.68,73.25,102.56,73.32,102.66,24.0,G
2015-03-01,72.5,101.34,72.94,101.96,73.71,103.05,22.0,YB
2015-04-01,72.36,101.0,72.53,101.23,74.05,103.34,16.0,B
2015-05-01,72.24,100.66,72.04,100.38,74.29,103.52,18.0,YB
2015-06-01,72.12,100.34,71.5,99.48,74.43,103.56,16.0,B
2015-07-01,71.96,99.96,70.97,98.59,74.47,103.45,14.0,B
2015-08-01,71.82,99.61,70.46,97.72,74.37,103.14,14.0,B
2015-09-01,71.72,99.3,70.06,97.0,74.16,102.68,14.0,B
2015-10-01,71.68,99.06,69.8,96.48,73.9,102.13,15.0,B
2015-11-01,71.68,98.89,69.6,96.03,73.63,101.58,15.0,B
2015-12-01,71.76,98.81,69.51,95.71,73.34,100.99,14.0,B
2016-01-01,71.88,98.78,69.57,95.61,72.99,100.3,14.0,B
2016-02-01,72.08,98.85,69.84,95.77,72.54,99.48,16.0,B
2016-03-01,72.38,99.04,70.37,96.29,72.07,98.61,16.0,B
2016-04-01,72.73,99.29,71.15,97.14,71.62,97.77,17.0,YB
2016-05-01,73.16,99.64,72.03,98.1,71.23,97.01,20.0,YB
2016-06-01,73.66,100.06,72.93,99.07,70.93,96.35,20.0,YB
2016-07-01,74.2,100.53,73.8,100.0,70.73,95.83,23.0,G
2016-08-01,74.75,101.01,74.61,100.82,70.72,95.57,25.0,G
2016-09-01,75.29,101.46,75.38,101.58,70.87,95.51,23.0,G
2016-10-01,75.77,101.82,76.09,102.26,71.19,95.67,24.0,G
2016-11-01,76.17,102.07,76.54,102.56,71.68,96.05,26.0,G
2016-12-01,76.53,102.25,76.66,102.42,72.32,96.62,28.0,G
2017-01-01,76.87,102.39,76.49,101.89,73.05,97.3,29.0,G
2017-02-01,77.17,102.49,76.17,101.16,73.84,98.06,28.0,G
2017-03-01,77.42,102.49,75.95,100.55,74.62,98.79,24.0,G
2017-04-01,77.59,102.4,75.94,100.23,75.29,99.36,21.0,YB
