futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
MTX,2018-06-05,外資,31867,17655078,32915,18238967,1250,689801,1846,1020437
MTX,2018-06-05,投信,0,0,0,0,46,25459,0,0
MTX,2018-06-05,自營商,8341,4595474,7285,4002254,20536,11183877,8722,4699288
TX,2018-06-05,外資,43660,96744874,44337,98256299,72646,160633794,24929,54946371
TX,2018-06-05,投信,53,117320,393,870142,1716,3798881,26133,57853235
TX,2018-06-05,自營商,16010,35407810,16344,36136490,8394,18097645,10601,23059521
MTX,2018-06-06,外資,31893,17744284,32980,18348834,1159,645598,2773,1551081
MTX,2018-06-06,投信,0,0,0,0,46,25755,0,0
MTX,2018-06-06,自營商,16938,9381926,10078,5587205,27896,15405803,9173,5010680
TX,2018-06-06,外資,54950,122352058,46849,104329549,78562,175707537,22750,50702057
TX,2018-06-06,投信,393,879606,105,234643,1688,3780445,25817,57819753
TX,2018-06-06,自營商,20806,46271438,24824,55254918,8355,18215510,14585,32277896
MTX,2018-06-07,外資,35348,19808231,38105,21354060,837,468121,5208,2921896
MTX,2018-06-07,投信,0,0,0,0,46,25822,0,0
MTX,2018-06-07,自營商,8880,4945367,9246,5142695,27806,15395810,9449,5172106
TX,2018-06-07,外資,51972,116473656,55267,123877249,76369,171233679,23852,53302760
TX,2018-06-07,投信,121,271318,292,655602,1720,3862088,26020,58425308
TX,2018-06-07,自營商,17719,39631422,16482,36852701,7732,16849179,12725,28169463
MTX,2018-06-08,外資,34865,19466088,37986,21207896,582,322788,8074,4489016
MTX,2018-06-08,投信,0,0,0,0,46,25588,0,0
MTX,2018-06-08,自營商,8047,4468520,8690,4802995,27222,14943156,9520,5152709
TX,2018-06-08,外資,49370,110244773,50896,113658864,74893,166386759,23902,52929841
TX,2018-06-08,投信,10,22222,547,1217113,1656,3684600,26493,58946925
TX,2018-06-08,自營商,15711,35016021,16126,35906302,8011,17322894,13416,29420384
MTX,2018-06-11,外資,32598,18129127,35110,19524053,619,343533,10627,5909512
MTX,2018-06-11,投信,0,0,0,0,46,25594,0,0
MTX,2018-06-11,自營商,7559,4175219,7909,4367097,27127,14892866,9775,5293271
TX,2018-06-11,外資,46731,103962131,47318,105273154,74625,165817366,24220,53638811
TX,2018-06-11,投信,6,13353,199,443246,1530,3405168,26560,59111936
TX,2018-06-11,自營商,13583,30169835,14911,33125032,7033,15146695,13766,30207913
MTX,2018-06-12,外資,48134,26732066,48966,27192371,673,374077,11541,6423233
MTX,2018-06-12,投信,0,0,0,0,46,25624,0,0
MTX,2018-06-12,自營商,11395,6293475,11059,6103406,27570,15154612,9954,5399353
TX,2018-06-12,外資,63025,139946701,63225,140447536,74397,165429259,24185,53621552
TX,2018-06-12,投信,16,35612,117,259650,1486,3311105,26617,59307999
TX,2018-06-12,自營商,20829,46205536,20476,45398398,6976,15042924,13338,29253275
MTX,2018-06-13,外資,33926,18882603,34772,19349924,401,222590,12033,6698415
MTX,2018-06-13,投信,0,0,0,0,46,25636,0,0
MTX,2018-06-13,自營商,10959,6062210,9521,5266112,27521,15121057,9925,5376506
