date,TotalExchangeMarginMaintenance
2015-01-05,167.155
2015-01-06,164.181
2015-01-07,165.35
2015-01-08,166.853
2015-01-09,167.17
2015-01-12,166.167
2015-01-13,166.678
2015-01-14,166.666
2015-01-15,166.404
2015-01-16,163.998
2015-01-19,163.006
2015-01-20,165.729
2015-01-21,165.595
2015-01-22,166.968
2015-01-23,167.282
2015-01-26,167.51
2015-01-27,167.776
2015-01-28,167.821
2015-01-29,166.874
2015-01-30,165.691
2015-02-02,164.959
2015-02-03,165.805
2015-02-04,166.211
2015-02-05,166.182
2015-02-06,165.194
2015-02-09,164.51
2015-02-10,163.656
2015-02-11,163.964
2015-02-12,164.288
2015-02-13,164.816
2015-02-24,166.307
2015-02-25,167.116
2015-02-26,167.554
2015-03-02,167.187
2015-03-03,166.83
2015-03-04,167.017
2015-03-05,167.402
2015-03-06,168.46
2015-03-09,168.042
2015-03-10,167.123
2015-03-11,166.663
2015-03-12,167.966
2015-03-13,167.728
2015-03-16,167.386
2015-03-17,166.966
2015-03-18,167.894
2015-03-19,169.56
2015-03-20,170.125
2015-03-23,170.214
2015-03-24,169.782
2015-03-25,168.158
2015-03-26,167.662
2015-03-27,166.069
2015-03-30,165.009
2015-03-31,166.135
2015-04-01,165.238
2015-04-02,166.331
2015-04-07,167.407
2015-04-08,166.366
2015-04-09,165.487
2015-04-10,165.397
2015-04-13,166.672
2015-04-14,167.32
2015-04-15,166.005
2015-04-16,166.945
2015-04-17,165.871
2015-04-20,164.408
2015-04-21,162.439
2015-04-22,164.012
2015-04-23,165.769
2015-04-24,166.332
2015-04-27,167.172
2015-04-28,166.342
2015-04-29,164.419
2015-04-30,165.306
2015-05-04,164.799
2015-05-05,164.049
2015-05-06,164.754
2015-05-07,162.832
2015-05-08,161.625
2015-05-11,159.173
2015-05-12,160.052
2015-05-13,161.845
2015-05-14,160.549
2015-05-15,159.669
2015-05-18,158.993
2015-05-19,161.587
2015-05-20,162.228
2015-05-21,160.835
2015-05-22,162.086
2015-05-25,162.453
2015-05-26,162.818
2015-05-27,163.619
2015-05-28,164.486
2015-05-29,164.377
2015-06-01,163.702
2015-06-02,163.79
2015-06-03,162.496
2015-06-04,158.532
2015-06-05,158.819
2015-06-08,158.753
2015-06-09,154.152
2015-06-10,157.75
2015-06-11,157.682
2015-06-12,157.888
2015-06-15,157.886
2015-06-16,156.831
2015-06-17,157.451
2015-06-18,159.054
2015-06-22,160.242
2015-06-23,160.959
2015-06-24,160.441
2015-06-25,161.55
2015-06-26,161.291
2015-06-29,157.241
2015-06-30,159.37
2015-07-01,161.209
2015-07-02,161.115
2015-07-03,161.032
2015-07-06,158.776
2015-07-07,158.501
2015-07-08,152.728
2015-07-09,153.438
2015-07-13,156.099
2015-07-14,155.577
2015-07-15,155.365
2015-07-16,155.961
2015-07-17,155.557
2015-07-20,153.698
2015-07-21,153.668
2015-07-22,152.13
2015-07-23,150.624
2015-07-24,150.151
2015-07-27,145.144
2015-07-28,147.828
2015-07-29,147.866
2015-07-30,149.581
2015-07-31,148.902
2015-08-03,147.119
2015-08-04,145.365
2015-08-05,148.339
2015-08-06,146.813
2015-08-07,148.201
2015-08-10,151.104
2015-08-11,149.191
2015-08-12,148.611
2015-08-13,149.974
2015-08-14,150.36
2015-08-17,148.733
2015-08-18,148.304
2015-08-19,145.432
2015-08-20,146.552
2015-08-21,142.57
2015-08-24,137.666
2015-08-25,143.61
2015-08-26,145.953
2015-08-27,148.681
2015-08-28,152.299
2015-08-31,154.144
2015-09-01,153.869
2015-09-02,154.941
2015-09-03,156.694
2015-09-04,154.439
2015-09-07,155.226
2015-09-08,156.119
2015-09-09,160.56
2015-09-10,161.34
2015-09-11,161.72
2015-09-14,161.77
2015-09-15,160.864
2015-09-16,161.725
2015-09-17,163.915
2015-09-18,165.02
2015-09-21,162.047
2015-09-22,163.334
2015-09-23,160.353
2015-09-24,157.577
2015-09-25,158.984
2015-09-30,159.398
2015-10-01,161.687
2015-10-02,162.616
2015-10-05,164.581
2015-10-06,164.126
2015-10-07,166.453
2015-10-08,163.95
2015-10-12,165.576
2015-10-13,166.596
2015-10-14,166.572
2015-10-15,167.048
2015-10-16,167.399
2015-10-19,167.556
2015-10-20,168.189
2015-10-21,167.045
2015-10-22,168.125
2015-10-23,168.151
2015-10-26,170.285
2015-10-27,169.701
2015-10-28,169.025
2015-10-29,166.835
2015-10-30,166.605
2015-11-02,168.26
2015-11-03,169.42
2015-11-04,171.337
2015-11-05,172.819
2015-11-06,170.371
2015-11-09,167.987
2015-11-10,167.142
2015-11-11,163.325
2015-11-12,163.334
2015-11-13,162.098
2015-11-16,161.396
2015-11-17,164.245
2015-11-18,163.459
2015-11-19,165.657
2015-11-20,165.952
2015-11-23,166.275
2015-11-24,163.735
2015-11-25,163.358
2015-11-26,165.311
2015-11-27,163.934
2015-11-30,162.162
2015-12-01,165.049
2015-12-02,165.441
2015-12-03,165.629
2015-12-04,165.282
2015-12-07,165.783
2015-12-08,163.526
2015-12-09,160.111
2015-12-10,160.039
2015-12-11,156.594
2015-12-14,155.445
2015-12-15,157.763
2015-12-16,159.649
2015-12-17,162.546
2015-12-18,162.299
2015-12-21,164.006
2015-12-22,163.502
2015-12-23,163.377
2015-12-24,162.301
2015-12-25,163.682
2015-12-28,163.005
2015-12-29,162.035
2015-12-30,161.712
2015-12-31,162.498
2016-01-04,159.012
2016-01-05,158.322
2016-01-06,156.387
2016-01-07,152.568
2016-01-08,155.985
2016-01-11,153.034
2016-01-12,150.653
2016-01-13,152.498
2016-01-14,150.773
2016-01-15,150.603
2016-01-18,155.001
2016-01-19,157.081
2016-01-20,153.137
2016-01-21,153.045
2016-01-22,154.278
2016-01-25,157.066
2016-01-26,156.228
2016-01-27,155.688
2016-01-28,157.046
2016-01-29,159.878
2016-02-01,161.011
2016-02-02,160.82
2016-02-03,158.798
2016-02-15,159.316
2016-02-16,162.439
2016-02-17,162.336
2016-02-18,164.041
2016-02-19,164.232
2016-02-22,164.779
2016-02-23,165.487
2016-02-24,164.405
2016-02-25,164.929
2016-02-26,165.931
2016-03-01,167.477
2016-03-02,168.64
2016-03-03,168.76
2016-03-04,170.194
2016-03-07,170.118
2016-03-08,170.255
2016-03-09,169.728
2016-03-10,170.082
2016-03-11,171.008
2016-03-14,172.792
2016-03-15,167.894
2016-03-16,170.499
2016-03-17,169.242
2016-03-18,170.682
2016-03-21,171.453
2016-03-22,170.288
2016-03-23,169.335
2016-03-24,168.596
2016-03-25,168.006
2016-03-28,166.673
2016-03-29,164.151
2016-03-30,161.285
2016-03-31,166.906
2016-04-01,165.944
2016-04-06,165.16
2016-04-07,164.219
2016-04-08,164.698
2016-04-11,164.557
2016-04-12,162.188
2016-04-13,164.532
2016-04-14,164.839
2016-04-15,164.964
2016-04-18,164.458
2016-04-19,164.076
2016-04-20,162.009
2016-04-21,162.626
2016-04-22,161.096
2016-04-25,161.454
2016-04-26,162.339
2016-04-27,161.964
2016-04-28,160.565
2016-04-29,159.098
2016-05-03,157.776
2016-05-04,156.13
2016-05-05,156.402
2016-05-06,155.772
2016-05-09,154.449
2016-05-10,155.65
2016-05-11,154.924
2016-05-12,153.186
2016-05-13,149.945
2016-05-16,154.07
