date,market,MarginPreviousDayBalance,MarginBuy,MarginSell,MarginCashRedemption,MarginCurrentDayBalance,MarginNextDayQuota,SecuritiesFirmLoanPreviousDayBalance,SecuritiesFirmLoanBuy,SecuritiesFirmLoanSell,SecuritiesFirmLoanCashRedemption,SecuritiesFirmLoanReplacement,SecuritiesFirmLoanCurrentDayBalance,SecuritiesFirmLoanNextDayQuota,UnrestrictedLoanPreviousDayBalance,UnrestrictedLoanBuy,UnrestrictedLoanSell,UnrestrictedLoanCashRedemption,UnrestrictedLoanReplacement,UnrestrictedLoanCurrentDayBalance,UnrestrictedLoanNextDayQuota,SecuritiesFinanceSecuredLoanPreviousDayBalance,SecuritiesFinanceSecuredLoanBuy,SecuritiesFinanceSecuredLoanSell,SecuritiesFinanceSecuredLoanCashRedemption,SecuritiesFinanceSecuredLoanReplacement,SecuritiesFinanceSecuredLoanCurrentDayBalance,SecuritiesFinanceSecuredLoanNextDayQuota,SettlementMarginPreviousDayBalance,SettlementMarginBuy,SettlementMarginSell,SettlementMarginCashRedemption,SettlementMarginReplacement,SettlementMarginCurrentDayBalance,SettlementMarginNextDayQuota
2015-05-29,集中市場,20194,1704,3376,2,18520,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-01,集中市場,18520,1903,1995,2,18426,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-02,集中市場,18426,7601,6284,0,19743,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-03,集中市場,19743,3097,3373,0,19467,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-04,集中市場,19467,1567,2710,10,18314,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-05,集中市場,18314,1640,3181,3,16770,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-08,集中市場,16770,959,1069,0,16660,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-09,集中市場,16660,996,1299,0,16357,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-10,集中市場,16357,839,791,16,16389,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-11,集中市場,16389,1250,1231,0,16408,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-12,集中市場,16408,5166,2664,3,18907,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-15,集中市場,18907,7775,6394,0,20288,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-16,集中市場,20288,8167,7167,0,21288,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-17,集中市場,21288,4722,4434,0,21576,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-18,集中市場,21576,3773,3939,0,21410,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-22,集中市場,21410,7980,7508,0,21882,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-23,集中市場,21882,7384,6302,0,22964,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-24,集中市場,22964,4182,4346,0,22800,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-25,集中市場,22800,3653,3576,1,22876,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-26,集中市場,22876,2211,1961,0,23126,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-29,集中市場,23126,1974,2345,2,22753,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-06-30,集中市場,22753,2132,2458,1,22426,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-01,集中市場,22426,2211,2163,0,22474,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-02,集中市場,22474,1782,1367,0,22889,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-03,集中市場,22889,974,1167,0,22696,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-06,集中市場,22696,1699,1698,0,22697,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-07,集中市場,22697,1587,1812,0,22472,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-08,集中市場,22472,1823,4262,19,20014,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-09,集中市場,20014,1805,2373,12,19434,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-13,集中市場,19434,2361,1629,0,20166,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-14,集中市場,20166,899,965,0,20100,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-15,集中市場,20100,553,673,0,19980,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-16,集中市場,19980,518,855,0,19643,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-17,集中市場,19643,1537,1258,0,19922,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-20,集中市場,19922,2189,2010,3,20098,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-21,集中市場,20098,1131,1773,0,19456,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-22,集中市場,19456,786,894,44,19304,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-23,集中市場,19304,904,1215,0,18993,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-24,集中市場,18993,838,779,1,19051,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-27,集中市場,19051,3624,2050,2,20623,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-28,集中市場,20623,1497,1649,3,20468,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-29,集中市場,20468,3865,3626,3,20704,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-30,集中市場,20704,2240,2687,2,20255,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-07-31,集中市場,20255,1228,2092,0,19391,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-03,集中市場,19391,1036,1093,0,19334,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-04,集中市場,19334,1850,3488,16,17680,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-05,集中市場,17680,2118,1856,4,17938,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-06,集中市場,17938,906,1020,45,17779,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-07,集中市場,17779,755,850,24,17660,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-10,集中市場,17660,2650,1463,0,18847,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-11,集中市場,18847,2405,2095,10,19147,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-12,集中市場,19147,1683,1510,3,19317,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-13,集中市場,19317,1100,1156,1,19260,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-14,集中市場,19260,1196,1273,8,19175,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-17,集中市場,19175,1210,1524,1,18860,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-18,集中市場,18860,1374,2132,0,18102,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-19,集中市場,18102,1077,891,0,18288,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-20,集中市場,18288,1103,985,4,18402,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-21,集中市場,18402,1062,1607,0,17857,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
2015-08-24,集中市場,17857,1142,2832,4,16163,54224,0,0,0,0,0,0,10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845
