date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2020-03-26,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-03-27,2020-04-13
2020-04-06,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-04-07,2020-04-20
2020-04-13,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-04-14,2020-04-27
2020-04-21,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-04-22,2020-05-06
2020-04-28,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-04-29,2020-05-13
2020-05-06,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-05-07,2020-05-20
2020-05-13,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-05-14,2020-05-27
2020-05-20,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-05-21,2020-06-03
2020-05-27,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-05-28,2020-06-10
2020-06-03,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-06-04,2020-06-17
2020-06-10,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-06-11,2020-06-24
2020-06-17,00642U,元大S&P石油,12,監視業務督導會報決議,督導會報決議,2020-06-18,2020-07-03
2020-03-16,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-03-17,2020-03-30
2020-03-25,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-03-26,2020-04-10
2020-04-01,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-04-06,2020-04-17
2020-04-10,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-04-13,2020-04-24
2020-04-17,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-04-20,2020-05-04
2020-04-22,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-04-23,2020-05-07
2020-04-29,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-04-30,2020-05-14
2020-05-07,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-05-08,2020-05-21
2020-05-14,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-05-15,2020-05-28
2020-05-21,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-05-22,2020-06-04
2020-05-28,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-05-29,2020-06-11
2020-06-04,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-06-05,2020-06-18
2020-06-11,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-06-12,2020-06-29
2020-06-18,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-06-19,2020-07-06
2020-06-29,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-06-30,2020-07-13
2020-07-06,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-07-07,2020-07-20
2020-07-13,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-07-14,2020-07-27
2020-07-21,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-07-22,2020-08-04
2020-07-28,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-07-29,2020-08-11
2020-08-04,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-08-05,2020-08-18
2020-08-11,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-08-12,2020-08-25
2020-08-18,00672L,元大S&P原油正2,22,監視業務督導會報決議,督導會報決議,2020-08-19,2020-09-01
2019-04-26,00677U,富邦VIX,4,監視業務督導會報決議,督導會報決議,2019-04-29,2019-05-13
2019-07-18,00677U,富邦VIX,4,監視業務督導會報決議,督導會報決議,2019-07-22,2019-08-02
2019-10-23,00677U,富邦VIX,4,監視業務督導會報決議,督導會報決議,2019-10-25,2019-11-07
2019-11-07,00677U,富邦VIX,4,監視業務督導會報決議,督導會報決議,2019-11-08,2019-11-21
2020-03-25,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-03-26,2020-04-10
2020-04-01,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-04-06,2020-04-17
2020-04-10,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-04-13,2020-04-24
2020-04-17,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-04-20,2020-05-04
2020-04-22,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-04-23,2020-05-07
2020-04-29,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-04-30,2020-05-14
2020-05-07,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-05-08,2020-05-21
2020-05-14,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-05-15,2020-05-28
2020-05-21,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-05-22,2020-06-04
2020-06-04,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-06-05,2020-06-18
2020-06-18,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-06-19,2020-07-06
2020-06-29,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-06-30,2020-07-13
2020-07-06,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-07-07,2020-07-20
2020-07-13,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-07-14,2020-07-27
2020-07-20,00715L,街口布蘭特油正2,15,監視業務督導會報決議,督導會報決議,2020-07-21,2020-08-03
2015-08-21,0080,恒中國,2,監視業務督導會報決議,督導會報決議,2015-08-24,2015-09-04
2015-09-24,0080,恒中國,2,監視業務督導會報決議,督導會報決議,2015-09-25,2015-10-12
2015-08-19,0081,恒香港,1,監視業務督導會報決議,督導會報決議,2015-08-20,2015-09-02
2024-10-09,00887,永豐中國科技50大,1,因連續3個營業日達本中心作業要點第四條第一項第一款,永豐中國科技50大ETF證券投資信託基金(代號：00887)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年10月11日起10個營業日(113年10月11日至113年10月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。,2024-10-11,2024-10-24
2021-07-06,030001,萬海中信0B購01,1,連續三次,第一次處置,2021-07-07,2021-07-20
2022-12-01,030035,元石油元大25購02,2,連續三次,第一次處置,2022-12-02,2022-12-15
2022-12-06,030035,元石油元大25購02,2,連續三次,第二次處置,2022-12-07,2022-12-20
