revenue_month,revenue,yoy,mom,cumulative_yoy,source,fetched_at
2014-10,40926000,,,,finmind,2026-07-22T01:05:03.888571+08:00
2014-11,48381000,,0.182158,,finmind,2026-07-22T01:05:03.888571+08:00
2014-12,47746000,,-0.013125,,finmind,2026-07-22T01:05:03.888571+08:00
2015-01,47572000,,-0.003644,,finmind,2026-07-22T01:05:03.888571+08:00
2015-02,29225000,,-0.385668,,finmind,2026-07-22T01:05:03.888571+08:00
2015-03,41772000,,0.429324,,finmind,2026-07-22T01:05:03.888571+08:00
2015-04,41962000,,0.004549,,finmind,2026-07-22T01:05:03.888571+08:00
2015-05,42484000,,0.01244,,finmind,2026-07-22T01:05:03.888571+08:00
2015-06,40686000,,-0.042322,,finmind,2026-07-22T01:05:03.888571+08:00
2015-07,39380000,,-0.032099,,finmind,2026-07-22T01:05:03.888571+08:00
2015-08,41724000,,0.059523,,finmind,2026-07-22T01:05:03.888571+08:00
2015-09,52113000,,0.248993,,finmind,2026-07-22T01:05:03.888571+08:00
2015-10,41017000,0.002224,-0.212922,,finmind,2026-07-22T01:05:03.888571+08:00
2015-11,46832000,-0.032017,0.14177,,finmind,2026-07-22T01:05:03.888571+08:00
2015-12,44051000,-0.077389,-0.059382,,finmind,2026-07-22T01:05:03.888571+08:00
2016-01,45380000,-0.046078,0.03017,-0.046078,finmind,2026-07-22T01:05:03.888571+08:00
2016-02,34753000,0.189153,-0.234178,0.043439,finmind,2026-07-22T01:05:03.888571+08:00
2016-03,48536000,0.161927,0.396599,0.085182,finmind,2026-07-22T01:05:03.888571+08:00
2016-04,52055000,0.240527,0.072503,0.125789,finmind,2026-07-22T01:05:03.888571+08:00
2016-05,52206000,0.228839,0.002901,0.147354,finmind,2026-07-22T01:05:03.888571+08:00
2016-06,38555000,-0.052377,-0.261483,0.114009,finmind,2026-07-22T01:05:03.888571+08:00
2016-07,43049000,0.093169,0.116561,0.11111,finmind,2026-07-22T01:05:03.888571+08:00
2016-08,44332000,0.062506,0.029803,0.104866,finmind,2026-07-22T01:05:03.888571+08:00
2016-09,43268000,-0.169727,-0.024001,0.0669,finmind,2026-07-22T01:05:03.888571+08:00
2016-10,37746000,-0.079747,-0.127623,0.052508,finmind,2026-07-22T01:05:03.888571+08:00
2016-11,47433000,0.012833,0.256636,0.04851,finmind,2026-07-22T01:05:03.888571+08:00
2016-12,45075000,0.023246,-0.049712,0.046323,finmind,2026-07-22T01:05:03.888571+08:00
2017-01,40162000,-0.114985,-0.108996,-0.114985,finmind,2026-07-22T01:05:03.888571+08:00
2017-02,31873000,-0.082871,-0.206389,-0.101057,finmind,2026-07-22T01:05:03.888571+08:00
2017-03,34207000,-0.295224,0.073228,-0.1743,finmind,2026-07-22T01:05:03.888571+08:00
