date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,twse,00400A,13965558,,,
2026-09-03,TWT96U,tpex,00411A,9883929,,,
2026-09-03,TWT96U,twse,00401A,2616305,,,
2026-09-03,TWT96U,tpex,006201,105902,,,
2026-09-03,TWT96U,twse,00402A,1581483,,,
2026-09-03,TWT96U,tpex,00679B,6171090,,,
2026-09-03,TWT96U,twse,00403A,88087335,,,
2026-09-03,TWT96U,tpex,00687B,4955527,,,
2026-09-03,TWT96U,twse,00404A,2273301,,,
2026-09-03,TWT96U,tpex,00694B,59850,,,
2026-09-03,TWT96U,twse,00405A,28243239,,,
2026-09-03,TWT96U,tpex,00695B,101695,,,
2026-09-03,TWT96U,twse,00406A,40958142,,,
2026-09-03,TWT96U,tpex,00696B,669398,,,
2026-09-03,TWT96U,twse,00407A,18800868,,,
2026-09-03,TWT96U,tpex,00697B,147412,,,
2026-09-03,TWT96U,twse,00408A,838960,,,
2026-09-03,TWT96U,tpex,00719B,797779,,,
2026-09-03,TWT96U,twse,00409A,0,,,
2026-09-03,TWT96U,tpex,00720B,1562630,,,
2026-09-03,TWT96U,twse,00410A,4933230,,,
2026-09-03,TWT96U,tpex,00722B,1014031,,,
2026-09-03,TWT96U,twse,0050,38719561,,,
2026-09-03,TWT96U,tpex,00723B,55817,,,
2026-09-03,TWT96U,twse,0051,19084,,,
2026-09-03,TWT96U,tpex,00724B,1146205,,,
2026-09-03,TWT96U,twse,0052,6822913,,,
2026-09-03,TWT96U,tpex,00725B,939769,,,
2026-09-03,TWT96U,twse,0053,18415,,,
2026-09-03,TWT96U,tpex,00726B,78718,,,
2026-09-03,TWT96U,twse,0055,117150,,,
2026-09-03,TWT96U,tpex,00727B,47084,,,
2026-09-03,TWT96U,twse,0056,13242082,,,
2026-09-03,TWT96U,tpex,00734B,31313,,,
2026-09-03,TWT96U,twse,0057,6987,,,
2026-09-03,TWT96U,tpex,00740B,440457,,,
2026-09-03,TWT96U,twse,0061,64902,,,
2026-09-03,TWT96U,tpex,00741B,40176,,,
2026-09-03,TWT96U,twse,006203,6465,,,
2026-09-03,TWT96U,tpex,00746B,129751,,,
2026-09-03,TWT96U,twse,006204,6966,,,
2026-09-03,TWT96U,tpex,00749B,34786,,,
2026-09-03,TWT96U,twse,006205,95442,,,
2026-09-03,TWT96U,tpex,00750B,34216,,,
2026-09-03,TWT96U,twse,006206,14289,,,
2026-09-03,TWT96U,tpex,00751B,1462283,,,
2026-09-03,TWT96U,twse,006207,54787,,,
2026-09-03,TWT96U,tpex,00754B,40569,,,
2026-09-03,TWT96U,twse,006208,939834,,,
2026-09-03,TWT96U,tpex,00755B,38490,,,
2026-09-03,TWT96U,twse,00631L,72532834,,,
2026-09-03,TWT96U,tpex,00756B,368083,,,
2026-09-03,TWT96U,twse,00632R,58898566,,,
2026-09-03,TWT96U,tpex,00758B,30329,,,
2026-09-03,TWT96U,twse,00633L,719445,,,
2026-09-03,TWT96U,tpex,00759B,30702,,,
2026-09-03,TWT96U,twse,00634R,248739,,,
2026-09-03,TWT96U,tpex,00760B,33068,,,
2026-09-03,TWT96U,twse,00635U,1273005,,,
2026-09-03,TWT96U,tpex,00761B,93570,,,
2026-09-03,TWT96U,twse,00636,154152,,,
2026-09-03,TWT96U,tpex,00764B,1833632,,,
2026-09-03,TWT96U,twse,00637L,5728244,,,
2026-09-03,TWT96U,tpex,00768B,219531,,,
2026-09-03,TWT96U,twse,00638R,69360,,,
2026-09-03,TWT96U,tpex,00772B,622366,,,
2026-09-03,TWT96U,twse,00639,208484,,,
2026-09-03,TWT96U,tpex,00773B,296432,,,
2026-09-03,TWT96U,twse,00640L,36320,,,
2026-09-03,TWT96U,tpex,00777B,34484,,,
2026-09-03,TWT96U,twse,00641R,474394,,,
2026-09-03,TWT96U,tpex,00778B,31730,,,
2026-09-03,TWT96U,twse,00642U,1052996,,,
2026-09-03,TWT96U,tpex,00779B,105852,,,
2026-09-03,TWT96U,twse,00643,788961,,,
2026-09-03,TWT96U,tpex,00780B,48320,,,
2026-09-03,TWT96U,twse,00645,45526,,,
2026-09-03,TWT96U,tpex,00781B,54908,,,
2026-09-03,TWT96U,twse,00646,887177,,,
2026-09-03,TWT96U,tpex,00782B,57552,,,
2026-09-03,TWT96U,twse,00647L,11787,,,
2026-09-03,TWT96U,tpex,00785B,26617,,,
2026-09-03,TWT96U,twse,00648R,527688,,,
2026-09-03,TWT96U,tpex,00786B,17956,,,
2026-09-03,TWT96U,twse,00650L,838508,,,
2026-09-03,TWT96U,tpex,00787B,8140,,,
2026-09-03,TWT96U,twse,00651R,94370,,,
2026-09-03,TWT96U,tpex,00788B,12978,,,
2026-09-03,TWT96U,twse,00652,80870,,,
2026-09-03,TWT96U,tpex,00789B,38959,,,
2026-09-03,TWT96U,twse,00653L,0,,,
2026-09-03,TWT96U,tpex,00791B,34222,,,
2026-09-03,TWT96U,twse,00654R,16306,,,
2026-09-03,TWT96U,tpex,00792B,50328,,,
2026-09-03,TWT96U,twse,00655L,354098,,,
2026-09-03,TWT96U,tpex,00793B,12432,,,
2026-09-03,TWT96U,twse,00656R,185619,,,
2026-09-03,TWT96U,tpex,00795B,1667368,,,
2026-09-03,TWT96U,twse,00657,31275,,,
2026-09-03,TWT96U,tpex,00799B,75351,,,
2026-09-03,TWT96U,twse,00660,6602,,,
2026-09-03,TWT96U,tpex,00834B,34266,,,
2026-09-03,TWT96U,twse,00661,29409,,,
2026-09-03,TWT96U,tpex,00836B,17091,,,
2026-09-03,TWT96U,twse,00662,1054532,,,
2026-09-03,TWT96U,tpex,00840B,30283,,,
2026-09-03,TWT96U,twse,00663L,2597676,,,
2026-09-03,TWT96U,tpex,00841B,32715,,,
2026-09-03,TWT96U,twse,00664R,9757070,,,
2026-09-03,TWT96U,tpex,00842B,90737,,,
2026-09-03,TWT96U,twse,00665L,4327522,,,
2026-09-03,TWT96U,tpex,00844B,33398,,,
2026-09-03,TWT96U,twse,00666R,76247,,,
2026-09-03,TWT96U,tpex,00845B,36099,,,
2026-09-03,TWT96U,twse,00668,35643,,,
2026-09-03,TWT96U,tpex,00846B,32666,,,
2026-09-03,TWT96U,twse,00669R,273692,,,
2026-09-03,TWT96U,tpex,00847B,100302,,,
2026-09-03,TWT96U,twse,00670L,194792,,,
2026-09-03,TWT96U,tpex,00848B,95093,,,
2026-09-03,TWT96U,twse,00671R,1510242,,,
2026-09-03,TWT96U,tpex,00849B,98669,,,
2026-09-03,TWT96U,twse,00673R,6429378,,,
