sid,name,market,event_date,first_limit_date,prev_close,close,limit_price,streak_len,value_20d_median,branch_era,has_branch_watchlist,has_branch_research,year,event_idx,value_bucket
1108,幸福,twse,2021-05-06,2021-05-05,15.5,18.75,18.75,2,118726385.5,False,False,False,2021,1545,C 100M-500M
1110,東泥,twse,2018-12-24,2018-12-22,14.1,17.05,17.05,2,754800.0,False,False,False,2018,968,A <30M
1213,大飲,twse,2020-07-14,2020-07-13,6.1,7.38,7.38,2,135244.0,False,False,False,2020,1209,A <30M
1213,大飲,twse,2021-03-31,2021-03-30,8.0,9.68,9.68,2,125523.5,False,False,False,2021,1374,A <30M
1219,福壽,twse,2020-06-18,2020-06-17,20.1,24.3,24.3,2,1433071.0,False,False,False,2020,1324,A <30M
1225,福懋油,twse,2025-06-24,2025-06-23,29.65,35.85,35.85,2,36695232.0,True,False,False,2025,2413,B 30M-100M
1235,興泰,twse,2025-02-18,2025-02-17,85.3,103.0,103.0,2,1471016.0,True,False,False,2025,2400,A <30M
1236,宏亞,twse,2021-11-16,2021-11-15,14.6,17.65,17.65,3,307777.5,True,False,False,2021,1677,A <30M
1240,茂生農經,tpex,2022-04-18,2022-04-15,52.2,63.1,63.1,2,1602101.0,True,False,False,2022,1125,A <30M
1258,其祥-KY,tpex,2015-06-12,2015-06-11,31.5,38.1,38.1,3,2219225.0,False,False,False,2015,102,A <30M
1258,其祥-KY,tpex,2015-07-29,2015-07-28,36.0,43.55,43.55,2,16315964.0,False,False,False,2015,133,A <30M
1258,其祥-KY,tpex,2020-04-29,2020-04-28,9.55,11.55,11.55,4,201010.5,False,False,False,2020,1256,A <30M
1262,綠悅-KY,twse,2019-07-15,2019-07-12,31.05,37.55,37.55,2,5492868.5,False,False,False,2019,1105,A <30M
1268,漢來美食,tpex,2018-07-16,2018-07-13,110.5,133.5,133.5,2,5481348.5,False,True,True,2018,549,A <30M
1295,生合,tpex,2025-06-09,2025-06-06,88.1,106.5,106.5,2,6081370.0,True,False,False,2025,355,A <30M
1303,南亞,twse,2026-06-15,2026-06-12,96.9,117.0,117.0,2,6248183322.0,True,False,True,2026,2787,E >=2B
1304,台聚,twse,2021-04-16,2021-04-15,29.15,35.25,35.25,2,225680686.0,False,False,True,2021,1532,C 100M-500M
1307,三芳,twse,2020-04-28,2020-04-27,19.15,23.15,23.15,2,3416645.0,False,False,True,2020,1296,A <30M
1309,台達化,twse,2020-09-08,2020-09-07,23.65,28.6,28.6,2,264741483.0,False,False,True,2020,1388,C 100M-500M
1309,台達化,twse,2026-03-30,2026-03-27,20.15,24.35,24.35,2,201407234.5,True,False,True,2026,2735,C 100M-500M
1312,國喬,twse,2020-08-17,2020-08-14,15.15,18.3,18.3,2,58020145.5,False,False,True,2020,1372,B 30M-100M
1314,中石化,twse,2026-03-09,2026-03-06,8.11,9.81,9.81,2,172661033.0,True,False,True,2026,2720,C 100M-500M
1323,永裕,twse,2026-03-31,2026-03-30,19.1,23.1,23.1,2,1319437.5,True,False,False,2026,2736,A <30M
1324,地球,twse,2021-04-13,2021-04-12,10.7,12.9,12.9,2,783703.5,False,False,False,2021,1517,A <30M
1324,地球,twse,2023-10-19,2023-10-18,16.0,19.35,19.35,2,35885865.5,True,False,False,2023,2130,B 30M-100M
1325,恆大,twse,2020-02-04,2020-02-03,24.55,29.7,29.7,2,23858224.0,False,False,False,2020,1227,A <30M
1325,恆大,twse,2023-12-04,2023-12-01,35.5,42.95,42.95,2,2132281.5,True,False,False,2023,2165,A <30M
1325,恆大,twse,2024-12-27,2024-12-26,25.2,30.45,30.45,2,4923233.5,True,False,False,2024,2424,A <30M
1325,恆大,twse,2026-01-28,2026-01-27,29.6,35.8,35.8,2,12870439.5,True,False,False,2026,2688,A <30M
1337,再生-KY,twse,2020-09-18,2020-09-17,6.12,7.4,7.4,5,15054407.5,False,False,False,2020,1396,A <30M
1338,廣華-KY,twse,2026-04-01,2026-03-31,14.2,17.15,17.15,2,2955748.0,True,False,False,2026,2737,A <30M
1340,勝悅-KY,twse,2024-07-08,2024-07-05,10.05,12.15,12.15,2,1008517.0,True,False,False,2024,2319,A <30M
1409,新纖,twse,2025-08-18,2025-08-15,14.65,17.7,17.7,2,25776045.0,True,False,True,2025,2589,A <30M
1409,新纖,twse,2026-06-03,2026-06-02,25.05,30.3,30.3,2,171424525.0,True,False,True,2026,2779,C 100M-500M
1410,南染,twse,2022-08-30,2022-08-29,36.55,44.2,44.2,2,3763293.5,True,False,False,2022,1824,A <30M
1413,宏洲,twse,2020-02-05,2020-02-04,8.53,10.3,10.3,2,642281.5,False,False,False,2020,1230,A <30M
1413,宏洲,twse,2022-08-05,2022-08-04,9.29,11.2,11.2,2,535412.5,True,False,False,2022,1844,A <30M
1413,宏洲,twse,2024-04-29,2024-04-26,9.2,11.1,11.1,2,611243.0,True,False,False,2024,2260,A <30M
1414,東和,twse,2020-11-03,2020-11-02,11.55,13.95,13.95,2,29878819.0,False,False,True,2020,1425,A <30M
1417,嘉裕,twse,2018-05-31,2018-05-30,5.55,6.71,6.71,2,10628485.5,False,False,False,2018,831,A <30M
1417,嘉裕,twse,2019-03-28,2019-03-27,5.04,6.09,6.09,2,3477200.5,False,False,False,2019,1033,A <30M
1417,嘉裕,twse,2020-09-11,2020-09-10,10.15,12.25,12.25,2,3980065.0,False,False,False,2020,1377,A <30M
1417,嘉裕,twse,2021-05-11,2021-05-10,14.2,17.15,17.15,2,50735065.0,False,False,False,2021,1534,B 30M-100M
1417,嘉裕,twse,2022-11-28,2022-11-25,12.0,14.5,14.5,3,4133967.5,True,False,False,2022,1919,A <30M
1418,東華,twse,2017-07-03,2017-06-30,5.1,6.17,6.17,2,190347.0,False,False,False,2017,542,A <30M
1418,東華,twse,2019-02-19,2019-02-18,7.55,9.13,9.13,2,24736.5,False,False,False,2019,760,A <30M
1418,東華,twse,2023-04-10,2023-04-07,14.2,17.15,17.15,2,310184.0,True,False,False,2023,1545,A <30M
1419,新紡,twse,2025-05-20,2025-05-19,47.65,57.6,57.6,2,2218684.0,True,True,False,2025,2453,A <30M
1423,利華,twse,2018-03-26,2018-03-23,8.31,10.05,10.05,2,1705353.0,False,False,False,2018,786,A <30M
1423,利華,twse,2020-06-17,2020-06-16,10.6,12.8,12.8,2,811070.5,False,False,False,2020,1323,A <30M
1432,大魯閣,twse,2018-11-27,2018-11-26,8.04,9.72,9.72,2,243418.5,False,False,False,2018,954,A <30M
1432,大魯閣,twse,2022-03-22,2022-03-21,14.75,17.8,17.8,2,1408611.5,True,False,False,2022,1751,A <30M
1432,大魯閣,twse,2023-02-07,2023-02-06,13.75,16.6,16.6,2,4720389.5,True,False,False,2023,1966,A <30M
1435,中福,twse,2020-10-05,2020-09-30,13.7,16.55,16.55,2,15670096.5,False,False,False,2020,1404,A <30M
1435,中福,twse,2020-12-16,2020-12-15,19.55,23.65,23.65,2,6536528.0,False,False,False,2020,1455,A <30M
1435,中福,twse,2022-02-18,2022-02-17,32.0,38.7,38.7,2,2958710.0,True,False,False,2022,1737,A <30M
1435,中福,twse,2023-09-25,2023-09-22,33.7,40.75,40.75,3,1939103.5,True,False,False,2023,1875,A <30M
1435,中福,twse,2023-12-29,2023-12-28,45.15,54.6,54.6,2,979350.0,True,False,False,2023,1938,A <30M
1435,中福,twse,2025-03-19,2025-03-18,35.55,43.0,43.0,2,89220.5,True,False,False,2025,2162,A <30M
1435,中福,twse,2026-06-23,2026-06-22,14.1,17.05,17.05,6,60549.0,True,False,False,2026,2400,A <30M
1439,雋揚,twse,2018-10-15,2018-10-12,28.2,34.1,34.1,2,16957663.0,False,False,False,2018,925,A <30M
1440,南紡,twse,2025-05-05,2025-05-02,12.0,14.5,14.5,2,9820415.5,True,False,False,2025,2515,A <30M
1441,大東,twse,2018-03-06,2018-03-05,8.1,9.8,9.8,2,1211921.5,False,False,False,2018,761,A <30M
1441,大東,twse,2020-06-17,2020-06-16,7.11,8.6,8.6,2,566561.0,False,False,False,2020,1320,A <30M
1441,大東,twse,2021-05-21,2021-05-20,10.7,12.9,12.9,2,27617321.0,False,False,False,2021,1545,A <30M
1443,立益,twse,2021-06-07,2021-06-04,14.1,17.05,17.05,2,802789.5,False,False,False,2021,1529,A <30M
1447,力鵬,twse,2026-01-27,2026-01-26,5.2,6.29,6.29,2,4767692.0,True,False,True,2026,2699,A <30M
1447,力鵬,twse,2026-06-30,2026-06-29,6.22,7.52,7.52,3,14278780.0,True,False,True,2026,2797,A <30M
1449,佳和,twse,2015-06-15,2015-06-12,5.64,6.82,6.82,4,2712409.0,False,False,False,2015,104,A <30M
1449,佳和,twse,2015-09-01,2015-08-31,5.93,7.17,7.17,2,1157678.5,False,False,False,2015,158,A <30M
1449,佳和,twse,2016-07-14,2016-07-13,3.84,4.64,4.64,2,59431.5,False,False,False,2016,368,A <30M
1449,佳和,twse,2019-11-26,2019-11-25,8.01,9.69,9.69,2,6947690.5,False,False,False,2019,1191,A <30M
1449,佳和,twse,2020-06-22,2020-06-19,17.0,20.55,20.55,2,25041738.0,False,False,False,2020,1328,A <30M
1449,佳和,twse,2022-08-15,2022-08-12,9.28,11.2,11.2,3,334357.0,True,False,False,2022,1847,A <30M
1449,佳和,twse,2024-07-26,2024-07-23,17.75,21.45,21.45,2,23028841.0,True,False,False,2024,2311,A <30M
1452,宏益,twse,2021-05-24,2021-05-21,21.55,26.05,26.05,2,170926125.5,False,False,False,2021,1557,C 100M-500M
1453,大將,twse,2015-06-12,2015-06-11,9.55,11.55,11.55,4,2194361.0,False,False,False,2015,104,A <30M
1453,大將,twse,2022-04-22,2022-04-21,15.15,18.3,18.3,2,33236156.5,True,False,False,2022,1772,B 30M-100M
1453,大將,twse,2022-08-11,2022-08-10,20.2,24.4,24.4,2,42489901.0,True,False,False,2022,1849,B 30M-100M
1453,大將,twse,2024-05-06,2024-05-03,25.05,30.3,30.3,2,45173802.0,True,False,False,2024,2266,B 30M-100M
1453,大將,twse,2025-02-11,2025-02-10,14.15,17.1,17.1,2,1078527.0,True,False,False,2025,2451,A <30M
1455,集盛,twse,2020-12-25,2020-12-24,10.0,12.1,12.1,2,23846528.0,False,False,False,2020,1463,A <30M
1455,集盛,twse,2021-05-11,2021-05-10,18.65,22.55,22.55,2,498391684.5,False,False,False,2021,1548,C 100M-500M
1455,集盛,twse,2026-01-26,2026-01-23,8.0,9.68,9.68,2,3202740.0,True,False,False,2026,2698,A <30M
1456,怡華,twse,2015-12-24,2015-12-23,4.0,4.84,4.84,2,21937.0,False,False,True,2015,143,A <30M
1456,怡華,twse,2017-01-16,2017-01-13,10.6,12.8,12.8,2,58101.0,False,False,True,2017,337,A <30M
1456,怡華,twse,2020-11-24,2020-11-23,10.1,12.2,12.2,3,365036.0,False,False,True,2020,1216,A <30M
1456,怡華,twse,2021-03-04,2021-03-03,17.0,20.55,20.55,2,5398006.0,False,False,True,2021,1279,A <30M
1459,聯發,twse,2021-05-11,2021-05-10,15.2,18.35,18.35,2,17788407.5,False,False,False,2021,1548,A <30M
1460,宏遠,twse,2020-04-07,2020-04-06,6.21,7.51,7.51,2,4762270.0,False,False,False,2020,1281,A <30M
1460,宏遠,twse,2020-06-18,2020-06-17,8.94,10.8,10.8,2,12060381.0,False,False,False,2020,1332,A <30M
1460,宏遠,twse,2021-05-04,2021-05-03,10.5,12.7,12.7,2,21626089.5,False,False,False,2021,1543,A <30M
1466,聚隆,twse,2020-05-28,2020-05-27,7.55,9.13,9.13,2,482786.5,False,False,False,2020,1297,A <30M
1467,南緯,twse,2020-06-16,2020-06-15,24.55,29.7,29.7,3,91353356.0,False,True,False,2020,1330,B 30M-100M
1467,南緯,twse,2026-07-02,2026-07-01,7.3,8.83,8.83,3,1935943.5,True,True,False,2026,2799,A <30M
1468,昶和,twse,2016-09-22,2016-09-21,10.0,12.1,12.1,2,280790.0,False,False,False,2016,419,A <30M
1468,昶和,twse,2021-01-18,2021-01-15,12.5,15.1,15.1,2,901381.0,False,False,False,2021,1478,A <30M
1468,昶和,twse,2021-08-06,2021-08-05,11.6,14.0,14.0,2,431850.0,True,False,False,2021,1610,A <30M
1468,昶和,twse,2023-01-13,2023-01-12,13.7,16.55,16.55,2,598302.0,True,False,False,2023,1966,A <30M
1470,大統新創,twse,2022-06-27,2022-06-24,19.55,23.65,23.65,2,1874560.5,True,False,False,2022,1376,A <30M
1471,首利,twse,2016-02-16,2016-02-15,4.5,5.44,5.44,2,992586.0,False,False,False,2016,269,A <30M
1471,首利,twse,2017-05-25,2017-05-24,5.04,6.09,6.09,2,1441603.5,False,False,False,2017,580,A <30M
1471,首利,twse,2018-05-31,2018-05-30,5.73,6.93,6.93,2,1775298.5,False,False,False,2018,824,A <30M
1471,首利,twse,2020-09-14,2020-09-11,4.12,4.98,4.98,2,943864.5,False,False,False,2020,1385,A <30M
1471,首利,twse,2021-04-09,2021-04-08,9.19,11.1,11.1,3,7948204.5,False,False,False,2021,1520,A <30M
1471,首利,twse,2021-09-28,2021-09-27,6.1,7.38,7.38,2,3359986.5,True,False,False,2021,1638,A <30M
1471,首利,twse,2022-07-22,2022-07-21,8.1,9.8,9.8,2,4308116.0,True,False,False,2022,1837,A <30M
1471,首利,twse,2026-01-23,2026-01-22,10.05,12.15,12.15,3,4552549.0,True,False,False,2026,2690,A <30M
1471,首利,twse,2026-06-01,2026-05-29,10.15,12.25,12.25,2,6682735.5,True,False,False,2026,2770,A <30M
1472,三洋實業,twse,2015-09-21,2015-09-18,12.5,15.1,15.1,2,707237.0,False,False,False,2015,173,A <30M
1472,三洋實業,twse,2016-07-18,2016-07-15,9.55,11.55,11.55,3,209575.0,False,False,False,2016,370,A <30M
1472,三洋實業,twse,2020-04-13,2020-04-10,10.2,12.3,12.3,2,3424737.5,False,False,False,2020,1272,A <30M
1472,三洋實業,twse,2023-06-28,2023-06-27,34.6,41.85,41.85,2,6393724.5,True,False,False,2023,1988,A <30M
1473,台南,twse,2024-05-10,2024-05-09,35.5,42.95,42.95,2,16703298.0,True,False,False,2024,2279,A <30M
1474,弘裕,twse,2020-07-13,2020-07-10,13.2,15.95,15.95,2,117375779.0,False,False,False,2020,1347,C 100M-500M
1474,弘裕,twse,2021-04-26,2021-04-23,14.2,17.15,17.15,2,31724594.5,False,False,False,2021,1538,B 30M-100M
1475,業旺,twse,2016-06-24,2016-06-23,7.3,8.83,8.83,2,56770.5,False,False,False,2016,340,A <30M
1475,業旺,twse,2017-02-06,2017-02-03,8.0,9.68,9.68,2,96865.0,False,False,False,2017,483,A <30M
1475,業旺,twse,2018-04-20,2018-04-19,24.55,29.7,29.7,3,2285151.0,False,False,False,2018,773,A <30M
1475,業旺,twse,2020-01-31,2020-01-30,10.15,12.25,12.25,2,70990.0,False,False,False,2020,1095,A <30M
1475,業旺,twse,2020-04-14,2020-04-13,6.01,7.27,7.27,2,60970.0,False,False,False,2020,1132,A <30M
1475,業旺,twse,2021-04-28,2021-04-27,47.4,57.3,57.3,2,3064213.5,False,False,False,2021,1348,A <30M
1476,儒鴻,twse,2020-03-25,2020-03-24,201.0,243.0,243.0,2,427185861.0,False,False,True,2020,1274,C 100M-500M
1504,東元,twse,2025-08-01,2025-07-31,46.4,56.1,56.1,2,158605364.0,True,False,True,2025,2577,C 100M-500M
1506,正道,twse,2022-04-11,2022-04-08,14.1,17.05,17.05,2,2608489.5,True,False,False,2022,1772,A <30M
1506,正道,twse,2025-08-26,2025-08-25,11.55,13.95,13.95,2,1724314.0,True,False,False,2025,2595,A <30M
1512,瑞利,twse,2016-03-04,2016-03-03,5.0,6.05,6.05,2,2116789.5,False,False,False,2016,281,A <30M
1512,瑞利,twse,2017-03-02,2017-03-01,6.2,7.5,7.5,2,7581647.0,False,False,False,2017,523,A <30M
1512,瑞利,twse,2017-05-24,2017-05-23,7.55,9.13,9.13,2,6439617.5,False,False,False,2017,579,A <30M
1512,瑞利,twse,2017-08-30,2017-08-29,12.0,14.5,14.5,2,31153790.5,False,False,False,2017,648,B 30M-100M
1512,瑞利,twse,2020-05-21,2020-05-20,5.12,6.19,6.19,2,212352.0,False,False,False,2020,1309,A <30M
1512,瑞利,twse,2020-08-26,2020-08-25,4.14,5.0,5.0,2,352424.5,False,False,False,2020,1376,A <30M
1512,瑞利,twse,2022-01-04,2022-01-03,4.01,4.85,4.85,2,476204.0,True,False,False,2022,1709,A <30M
1512,瑞利,twse,2022-12-16,2022-12-15,4.01,4.85,4.85,2,471941.5,True,False,False,2022,1943,A <30M
