MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,date
5056000,231000,457000,0,4830000,6482398369,42666500,206000,0,0,42872500,6686222,0,2015-01-05
4830000,95000,1432000,0,3493000,6482398369,42872500,300000,0,0,43172500,6914496,0,2015-01-06
3493000,59000,202000,0,3350000,6482398369,43172500,0,0,0,43172500,6920797,0,2015-01-07
3350000,403000,170000,0,3583000,6482398369,43172500,0,0,0,43172500,7049798,0,2015-01-08
3583000,953000,510000,1000,4025000,6482398369,43172500,712000,0,0,43884500,7285397,0,2015-01-09
4025000,389000,1111000,0,3303000,6482398369,43884500,620000,0,0,44504500,7247566,0,2015-01-12
3303000,45000,318000,51000,2979000,6482398369,44504500,0,0,0,44504500,7167420,0,2015-01-13
2979000,100000,254000,3000,2822000,6482415609,44504500,134000,0,0,44638500,7131859,0,2015-01-14
2822000,258000,177000,1000,2902000,6482415609,44638500,128000,0,0,44766500,7137276,0,2015-01-15
2902000,1042000,324000,1000,3619000,6482415609,44766500,391000,828000,0,44329500,7809004,0,2015-01-16
3619000,691000,62000,0,4248000,6482415609,44329500,153000,33000,0,44449500,7947295,0,2015-01-19
4248000,224000,322000,0,4150000,6482415609,44449500,100000,12157000,0,32392500,8040236,0,2015-01-20
4150000,1023000,68000,1000,5104000,6482415609,32392500,193000,0,0,32585500,8342676,0,2015-01-21
5104000,493000,139000,0,5458000,6482415609,32585500,3574000,0,0,36159500,8381401,0,2015-01-22
5458000,1857000,311000,1000,7003000,6482415609,36159500,252000,1637000,0,34774500,8652672,0,2015-01-23
7003000,217000,309000,0,6911000,6482415609,34774500,34000,0,0,34808500,8755585,0,2015-01-26
6911000,706000,96000,2000,7519000,6482415609,34808500,1654000,8834000,0,27628500,8810025,0,2015-01-27
7519000,201000,330000,1000,7389000,6482415609,27628500,90000,0,0,27718500,8857357,0,2015-01-28
7389000,111000,828000,1000,6671000,6482415609,27718500,2200000,0,0,29918500,8538806,0,2015-01-29
6671000,137000,1087000,0,5721000,6482415609,29918500,61000,0,0,29979500,8488918,0,2015-01-30
5721000,257000,182000,0,5796000,6482415609,29979500,46000,0,0,30025500,8394192,0,2015-02-02
5796000,501000,78000,2000,6217000,6482415609,30025500,597000,62000,0,30560500,8342453,0,2015-02-03
6207000,478000,203000,1000,6481000,6482415609,30560500,600000,1561000,0,29599500,8502416,0,2015-02-04
6491000,66000,220000,2000,6335000,6482415609,29599500,34000,25000,0,29608500,8559788,0,2015-02-05
6335000,54000,208000,0,6181000,6482415609,29608500,7000,1828000,0,27787500,8701628,0,2015-02-06
6181000,26000,423000,0,5784000,6482415609,27787500,0,400000,0,27387500,8791409,0,2015-02-09
5784000,66000,216000,6000,5628000,6482415609,27387500,95000,205000,0,27277500,8982270,0,2015-02-10
5628000,1418000,121000,20000,6905000,6482415609,27277500,399000,0,0,27676500,9224629,0,2015-02-11
6905000,195000,191000,0,6909000,6482415609,27676500,14000,102000,0,27588500,9300880,0,2015-02-12
6909000,386000,196000,111000,6988000,6482415609,27588500,0,0,0,27588500,9435679,0,2015-02-13
6989000,707000,121000,0,7575000,6482415609,27588500,0,15000,0,27573500,9717209,0,2015-02-24
