date,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2015-01-05,0,0,0,0,0,44745947,0,0,0,0,0,25531,0
2015-01-06,0,0,0,0,0,44745947,0,0,0,0,0,25156,0
2015-01-07,0,0,0,0,0,44745947,0,0,0,0,0,25188,0
2015-01-08,0,0,0,0,0,44745947,0,0,0,0,0,24040,0
2015-01-09,0,0,0,0,0,44745947,0,0,0,0,0,23561,0
2015-01-12,0,0,0,0,0,44745947,0,0,0,0,0,21649,0
2015-01-13,0,0,0,0,0,44745947,0,0,0,0,0,22069,0
2015-01-14,0,0,0,0,0,44745947,0,0,0,0,0,21408,0
2015-01-15,0,0,0,0,0,44745947,0,0,0,0,0,22610,0
2015-01-16,0,0,0,0,0,44745947,0,0,0,0,0,24299,0
2015-01-19,0,0,0,0,0,44745947,0,0,0,0,0,25238,0
2015-01-20,0,0,0,0,0,44745947,0,0,0,0,0,25732,0
2015-01-21,0,0,0,0,0,44745947,0,0,0,0,0,25827,0
2015-01-22,0,0,0,0,0,44745947,0,0,0,0,0,25894,0
2015-01-23,0,0,0,0,0,44745947,0,0,0,0,0,25774,0
2015-01-26,0,0,0,0,0,44745947,0,0,0,0,0,25635,0
2015-01-27,0,0,0,0,0,44745947,0,0,0,0,0,25903,0
2015-01-28,0,0,0,0,0,44745947,0,0,0,0,0,25798,0
2015-01-29,0,0,0,0,0,44745947,0,0,0,0,0,25628,0
2015-01-30,0,0,0,0,0,44745947,0,0,0,0,0,24686,0
2015-02-02,0,0,0,0,0,44745947,0,0,0,0,0,23826,0
2015-02-03,0,0,0,0,0,44745947,0,0,0,0,0,23773,0
2015-02-04,0,0,0,0,0,44745947,0,0,0,0,0,23915,0
2015-02-05,0,0,0,0,0,44745947,0,0,0,0,0,23031,0
2015-02-06,0,0,0,0,0,44745947,0,0,0,0,0,20311,0
2015-02-09,0,0,0,0,0,44745947,0,0,0,0,0,21344,0
2015-02-10,0,0,0,0,0,44745947,0,0,0,0,0,21006,0
2015-02-11,0,0,0,0,0,44745947,0,0,0,0,0,20530,0
2015-02-12,0,0,0,0,0,44745947,0,0,0,0,0,21023,0
2015-02-13,0,0,0,0,0,44745947,0,0,0,0,0,21360,0
2015-02-24,0,0,0,0,0,44745947,0,0,0,0,0,23504,0
2015-02-25,0,0,0,0,0,44745947,0,0,0,0,0,22898,0
2015-02-26,0,0,0,0,0,44745947,0,0,0,0,0,23375,0
2015-03-02,0,0,0,0,0,44745947,0,0,0,0,0,23245,0
2015-03-03,0,0,0,0,0,44745947,0,0,0,0,0,22938,0
2015-03-04,0,0,0,0,0,44745947,0,0,0,0,0,22711,0
2015-03-05,0,0,0,0,0,44745947,0,0,0,0,0,22290,0
2015-03-06,0,0,0,0,0,44745947,0,0,0,0,0,22849,0
2015-03-09,0,0,0,0,0,44745947,0,0,0,0,0,21048,0
2015-03-10,0,0,0,0,0,44745947,0,0,0,0,0,19324,0
2015-03-11,0,0,0,0,0,44745947,0,0,0,0,0,18794,0
2015-03-12,0,0,0,0,0,44745947,0,0,0,0,0,18162,0
2015-03-13,0,0,0,0,0,44745947,0,0,0,0,0,17858,0
2015-03-16,0,0,0,0,0,44745947,0,0,0,0,0,17770,0
2015-03-17,0,0,0,0,0,44745947,0,0,0,0,0,17524,0
2015-03-18,0,0,0,0,0,44745947,0,0,0,0,0,17662,0
2015-03-19,0,0,0,0,0,44745947,0,0,0,0,0,17921,0
2015-03-20,0,0,0,0,0,44745947,0,0,0,0,0,19040,0
2015-03-23,0,0,0,0,0,44745947,0,0,0,0,0,19689,0
2015-03-24,0,0,0,0,0,44745947,0,0,0,0,0,19842,0
2015-03-25,0,0,0,0,0,44745947,0,0,0,0,0,20236,0
2015-03-26,0,0,0,0,0,44745947,0,0,0,0,0,20317,0
2015-03-27,0,0,0,0,0,44745947,0,0,0,0,0,19942,0
2015-03-30,0,0,0,0,0,44745947,0,0,0,0,0,19747,0
2015-03-31,0,0,0,0,0,44745947,0,0,0,0,0,22301,0
2015-04-01,0,0,0,0,0,44745947,0,0,0,0,0,21353,0
2015-04-02,0,0,0,0,0,44745947,0,0,0,0,0,21507,0
2015-04-07,0,0,0,0,0,44745947,0,0,0,0,0,21205,0
2015-04-08,0,0,0,0,0,44745947,0,0,0,0,0,20534,0
2015-04-09,0,0,0,0,0,44745947,0,0,0,0,0,20064,0
2015-04-10,0,0,0,0,0,44745947,0,0,0,0,0,32005,0
2015-04-13,0,0,0,0,0,44745947,0,0,0,0,0,43535,0
2015-04-14,0,0,0,0,0,44745947,0,0,0,0,0,43276,0
2015-04-15,0,0,0,0,0,44745947,0,0,0,0,0,43767,0
2015-04-16,0,0,0,0,0,44745947,0,0,0,0,0,43998,0
2015-04-17,0,0,0,0,0,44745947,0,0,0,0,0,44371,0
2015-04-20,0,0,0,0,0,44745947,0,0,0,0,0,43738,0
2015-04-21,0,0,0,0,0,44745947,0,0,0,0,0,43057,0
2015-04-22,0,0,0,0,0,44745947,0,0,0,0,0,42838,0
2015-04-23,0,0,0,0,0,44745947,0,0,0,0,0,43526,0
2015-04-24,0,0,0,0,0,44745947,0,0,0,0,0,42976,0
2015-04-27,0,0,0,0,0,44745947,0,0,0,0,0,43029,0
2015-04-28,0,0,0,0,0,44745947,0,0,0,0,0,42881,0
2015-04-29,0,0,0,0,0,44745947,0,0,0,0,0,43237,0
2015-04-30,0,0,0,0,0,44745947,0,0,0,0,0,43401,0
2015-05-04,0,0,0,0,0,44745947,0,0,0,0,0,43948,0
2015-05-05,0,0,0,0,0,44745947,0,0,0,0,0,43525,0
2015-05-06,0,0,0,0,0,44745947,0,0,0,0,0,42765,0
2015-05-07,0,0,0,0,0,44745947,0,0,0,0,0,42679,0
2015-05-08,0,0,0,0,0,44745947,0,0,0,0,0,42573,0
2015-05-11,0,0,0,0,0,44745947,0,0,0,0,0,43422,0
