date,end_date,reason
2015-04-02,2015-04-09,股東常會
2015-06-24,2015-06-29,除息
2016-03-18,2016-03-23,其它利益
2016-03-30,2016-04-06,股東常會
2016-06-21,2016-06-24,除息
2017-04-10,2017-04-13,股東常會
2017-06-27,2017-06-30,除息
2018-02-02,2018-02-07,其它利益
2018-03-29,2018-04-02,股東常會
2018-06-20,2018-06-25,除息
2019-04-08,2019-04-11,股東常會
2019-06-28,2019-07-03,除息
2020-04-06,2020-04-09,股東常會
2020-06-23,2020-06-30,除息
2021-04-01,2021-04-08,股東常會
2021-07-20,2021-07-23,除息
2021-08-31,2021-09-03,現金增資
2022-04-11,2022-04-14,股東常會
2022-07-21,2022-07-26,除息
2022-09-16,2022-09-21,除權
2023-03-29,2023-04-06,股東常會
2023-07-14,2023-07-19,除息
2023-08-29,2023-09-01,除權
2024-04-08,2024-04-11,股東常會
2024-07-15,2024-07-18,除息
2024-09-03,2024-09-06,除權
2025-04-07,2025-04-10,股東常會
2025-06-25,2025-06-30,除息
2025-09-19,2025-09-24,除權
2026-04-02,2026-04-09,股東常會
2026-06-25,2026-06-30,除息
